Time Range,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",,,2024-11-10T16:00:00Z,2024-11-10T18:00:00Z,,,,,,,,0.90
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,LRYY616,2024-08-16T18:00:00Z,2024-11-22T15:00:00Z,DRIFTING_LONGLINES,FISHING,412330102,,BBKG6,2016-08-01T02:24:37Z,2025-03-22T02:41:16Z,4.48
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,LURONGYUANYU900,2024-08-05T12:00:00Z,2024-08-05T13:00:00Z,DRIFTING_LONGLINES,FISHING,412336913,,,2019-01-05T02:39:54Z,2025-07-18T23:45:34Z,1.18
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,ZHONGSHUI718,2025-01-24T05:00:00Z,2025-01-24T17:00:00Z,DRIFTING_LONGLINES,FISHING,412549002,,BZYZ2,2023-04-05T20:03:29Z,2025-07-18T23:56:43Z,11.65
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",FJI,WINFULL38,2025-03-08T12:00:00Z,2025-06-30T23:00:00Z,DRIFTING_LONGLINES,FISHING,520386000,,3DWV,2025-03-05T21:26:32Z,2025-07-18T23:50:44Z,1437.78
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,RONGDAYANG28,2024-10-10T12:00:00Z,2024-10-10T17:00:00Z,DRIFTING_LONGLINES,FISHING,412328796,9679696,BBGA8,2023-05-25T08:21:59Z,2025-04-27T20:49:48Z,4.38
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",ESP,VIKING BAY,2024-11-30T05:00:00Z,2025-05-27T22:00:00Z,DRIFTING_LONGLINES,FISHING,224342000,9221516,EAWJ,2012-01-01T00:53:03Z,2025-07-18T23:58:48Z,28.54
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,LIAOYUANYU101,2024-07-16T20:00:00Z,2024-07-21T20:00:00Z,DRIFTING_LONGLINES,FISHING,412549221,,BZZH,2019-11-04T02:38:15Z,2025-07-18T23:57:58Z,55.00
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,LURONGYUANYU776,2024-08-23T16:00:00Z,2024-12-17T17:00:00Z,DRIFTING_LONGLINES,FISHING,412549261,9910856,BZVQ6,2022-12-02T10:36:07Z,2025-07-18T23:29:11Z,6.18
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",FJI,WINFULL NO1,2024-07-02T01:00:00Z,2025-06-30T23:00:00Z,DRIFTING_LONGLINES,FISHING,520020000,,3DVU,2015-07-05T22:34:02Z,2025-07-18T23:42:19Z,3738.19
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,SUIYUANYU39,2025-03-19T07:00:00Z,2025-03-19T17:00:00Z,DRIFTING_LONGLINES,FISHING,412549287,9917282,BZWA25,2024-09-25T04:55:38Z,2025-07-18T23:54:56Z,10.13
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,ZHONGSHUI707,2025-01-12T10:00:00Z,2025-06-05T17:00:00Z,DRIFTING_LONGLINES,FISHING,412320023,8628937,BZZR6,2015-06-17T09:41:15Z,2025-07-18T23:59:45Z,27.52
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,DAYANG6-2           ,2024-11-07T19:00:00Z,2024-12-24T14:00:00Z,GEAR,FISHING,412006002,,BO12345,2022-10-06T19:38:21Z,2025-06-20T14:41:02Z,368.82
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",,107000030     [7.5V],2024-09-15T10:00:00Z,2024-11-10T01:00:00Z,FISHING,FISHING,107000030,,BO12345,2020-08-11T20:40:58Z,2024-11-10T02:14:18Z,263.83
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,GUANGYUANYU335,2024-09-06T14:00:00Z,2025-01-05T18:00:00Z,DRIFTING_LONGLINES,FISHING,412549563,1016678,BZWY45,2023-05-11T00:37:35Z,2025-07-18T23:59:58Z,22.74
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,LURONGYUANYU769,2025-03-14T18:00:00Z,2025-03-16T17:00:00Z,DRIFTING_LONGLINES,FISHING,412329429,,BBKF1,2021-07-26T02:55:25Z,2025-07-18T23:58:40Z,15.99
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,LURONGYUANYU209,2024-10-02T17:00:00Z,2025-04-18T19:00:00Z,DRIFTING_LONGLINES,FISHING,412331063,,,2015-11-06T07:47:58Z,2025-07-18T23:38:59Z,33.17
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,RONG HENG 13,2025-03-12T17:00:00Z,2025-04-11T17:00:00Z,DRIFTING_LONGLINES,FISHING,412354269,8689230,BZU5Q,2022-11-25T14:56:05Z,2025-07-18T23:57:52Z,0.60
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,LURONGYUANYU139,2024-08-23T14:00:00Z,2025-03-20T17:00:00Z,DRIFTING_LONGLINES,FISHING,412331013,,BCFA4,2020-07-27T00:14:21Z,2025-07-17T15:00:22Z,31.68
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",VUT,DA WEN,2024-08-27T18:00:00Z,2024-08-27T18:00:00Z,DRIFTING_LONGLINES,FISHING,576737000,,YJSG7,2018-12-28T02:54:14Z,2025-07-18T23:58:11Z,0.17
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,ZHONG SHUI 947,2024-12-14T09:00:00Z,2025-06-25T17:00:00Z,DRIFTING_LONGLINES,FISHING,412549947,1077464,BZZA4,2024-08-30T10:44:45Z,2025-07-18T23:59:52Z,25.57
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",NZL,TINTIN,2024-07-01T22:00:00Z,2024-07-04T13:00:00Z,OTHER,FISHING,512011321,,ZMX5929,2024-04-23T23:56:27Z,2025-06-23T01:11:43Z,5.70
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",NAM,HELENA NDUME,2024-10-17T16:00:00Z,2024-10-17T20:00:00Z,SET_LONGLINES,FISHING,659096000,8510817,V5MP,2023-06-02T14:43:23Z,2025-07-18T23:59:47Z,3.72
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",FJI,OCEANFORTUNE 1,2024-07-05T12:00:00Z,2025-06-27T17:00:00Z,DRIFTING_LONGLINES,FISHING,520274000,,3DN6667,2015-09-25T00:47:50Z,2025-07-18T13:18:24Z,5486.94
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",FJI,WIN FULL 8,2024-07-01T03:00:00Z,2025-06-29T18:00:00Z,DRIFTING_LONGLINES,FISHING,520245000,,3DWS,2022-09-13T05:42:20Z,2025-07-18T23:47:18Z,4026.73
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,SUI YUAN YU 36,2025-06-24T09:00:00Z,2025-06-24T18:00:00Z,DRIFTING_LONGLINES,FISHING,412499944,9873242,BZXE9,2025-02-28T22:45:14Z,2025-07-18T23:57:08Z,4.38
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,LURONGYUANYU298,2024-07-04T02:00:00Z,2025-06-10T16:00:00Z,DRIFTING_LONGLINES,FISHING,412329557,,BBCW8,2024-06-24T19:24:16Z,2025-07-18T23:56:15Z,36.42
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,ZHOUYUANYU202,2025-03-03T08:00:00Z,2025-03-03T18:00:00Z,DRIFTING_LONGLINES,FISHING,413404430,,BZ7UM,2015-03-21T01:06:49Z,2025-07-18T23:56:48Z,9.44
