Time Range,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,SHEN LIAN CHENG 881,2025-05-02T05:00:00Z,2025-06-08T19:00:00Z,DRIFTING_LONGLINES,FISHING,412460114,,BZXD92,2020-04-30T11:17:18Z,2025-07-18T23:58:59Z,447.81
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,YUAN LONG,2024-07-01T01:00:00Z,2025-06-30T23:00:00Z,DRIFTING_LONGLINES,FISHING,416009187,,BH3555,2022-12-15T01:09:27Z,2025-07-18T23:59:38Z,5327.66
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,HUA NAN YU732,2025-01-31T23:00:00Z,2025-02-01T00:00:00Z,DRIFTING_LONGLINES,FISHING,412460074,,BZXD34,2018-05-29T00:02:50Z,2025-07-18T23:55:52Z,1.10
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,WIN RICH 707,2025-06-14T05:00:00Z,2025-06-17T22:00:00Z,FISHING,FISHING,416005556,9868637,BL2132,2018-11-12T01:24:07Z,2025-06-17T22:26:26Z,5.80
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",FSM,CROMWELL 101,2024-10-04T14:00:00Z,2024-12-31T07:00:00Z,TUNA_PURSE_SEINES,FISHING,510095000,9853773,V6PC101,2019-12-16T03:49:51Z,2025-06-27T04:41:04Z,2.15
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,GENPUKU MARU NO.81,2024-09-24T07:00:00Z,2025-06-18T20:00:00Z,INCONCLUSIVE,FISHING,431905000,9902366,7KHF,2020-09-11T02:27:43Z,2025-07-18T23:59:27Z,24.23
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,SHENGANGFA720,2024-07-11T18:00:00Z,2025-06-06T09:00:00Z,DRIFTING_LONGLINES,FISHING,412463406,,813,2018-07-20T20:49:04Z,2025-07-18T23:52:36Z,3661.45
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,HAKKO MARU NO2,2024-07-31T09:00:00Z,2025-06-02T03:00:00Z,TUNA_PURSE_SEINES,FISHING,432487000,,7JAB,2012-01-03T10:13:45Z,2025-07-03T00:59:16Z,54.48
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",SLB,SOUTHERN SEAS 301,2025-05-20T00:00:00Z,2025-05-20T02:00:00Z,TUNA_PURSE_SEINES,FISHING,557005500,9764415,H4SR,2015-09-21T06:12:04Z,2025-07-18T23:58:28Z,2.00
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,SHENLIANCHENG601,2024-07-01T16:00:00Z,2024-07-02T03:00:00Z,DRIFTING_LONGLINES,FISHING,412698170,9990492,BZXC7,2022-12-21T00:52:39Z,2025-07-18T23:59:55Z,3.48
