Time Range,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,ZHONGSHUI707,2025-01-31T23:00:00Z,2025-03-20T20:00:00Z,DRIFTING_LONGLINES,FISHING,412320023,8628937,BZZR6,2015-06-17T09:41:15Z,2025-07-18T23:59:45Z,590.12
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,XINSHIJI158,2024-12-04T00:00:00Z,2025-06-18T15:00:00Z,DRIFTING_LONGLINES,FISHING,412420893,,BZ1VY,2024-08-23T22:08:12Z,2025-07-18T23:49:57Z,333.23
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,CHIN YOU WEN,2024-07-18T23:00:00Z,2024-07-25T14:00:00Z,DRIFTING_LONGLINES,FISHING,416122800,,,2013-07-08T07:18:13Z,2024-09-05T02:42:30Z,94.76
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,LURONGYUANYU776,2025-01-23T22:00:00Z,2025-05-19T16:00:00Z,DRIFTING_LONGLINES,FISHING,412549261,9910856,BZVQ6,2022-12-02T10:36:07Z,2025-07-18T23:29:11Z,1837.01
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,XINSHIJI77,2025-05-27T20:00:00Z,2025-06-11T14:00:00Z,DRIFTING_LONGLINES,FISHING,412695620,,BZVZ7,2018-05-21T00:11:44Z,2025-07-18T23:59:29Z,238.72
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,GUANGYUANYU335,2024-10-19T20:00:00Z,2024-10-24T12:00:00Z,DRIFTING_LONGLINES,FISHING,412549563,1016678,BZWY45,2023-05-11T00:37:35Z,2025-07-18T23:59:58Z,67.97
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",KOR,716 ORYONG,2025-06-11T03:00:00Z,2025-06-30T17:00:00Z,DRIFTING_LONGLINES,FISHING,440934000,8717879,DTAC3,2012-07-17T17:57:38Z,2025-07-18T23:59:57Z,169.02
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,ZHONGSHUI806,2025-03-13T18:00:00Z,2025-05-03T03:00:00Z,DRIFTING_LONGLINES,FISHING,412326902,8629010,BZYJ3,2015-07-10T12:01:54Z,2025-07-18T23:51:13Z,685.75
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",KOR,PANALOX505,2024-10-12T03:00:00Z,2025-03-28T16:00:00Z,DRIFTING_LONGLINES,FISHING,440549000,8916384,DTAV3,2012-01-01T01:36:08Z,2025-07-18T23:58:56Z,414.04
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",,ZHOUYUANYU2608 90%,2025-05-15T21:00:00Z,2025-05-20T15:00:00Z,DRIFTING_LONGLINES,FISHING,1073741802,,,2025-02-13T14:49:10Z,2025-06-14T13:43:32Z,40.24
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",KOR,315 O RYONG,2024-07-01T00:00:00Z,2024-08-01T17:00:00Z,DRIFTING_LONGLINES,FISHING,440731000,8714188,DTDZ,2012-01-01T01:28:33Z,2025-07-16T00:06:04Z,494.04
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,SHANG SHUN 168,2024-08-09T03:00:00Z,2024-08-09T04:00:00Z,SET_LONGLINES,FISHING,416349000,,BI2527,2015-07-10T06:24:21Z,2025-07-18T23:49:23Z,0.99
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",VUT,DA WEN,2024-09-07T13:00:00Z,2024-09-07T19:00:00Z,DRIFTING_LONGLINES,FISHING,576737000,,YJSG7,2018-12-28T02:54:14Z,2025-07-18T23:58:11Z,6.02
