Time Range,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,XINSHIJI158,2024-11-23T21:00:00Z,2025-06-30T17:00:00Z,DRIFTING_LONGLINES,FISHING,412420893,,BZ1VY,2024-08-23T22:08:12Z,2025-07-18T23:49:57Z,291.54
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,HUA NAN YU732,2025-06-12T21:00:00Z,2025-06-30T14:00:00Z,DRIFTING_LONGLINES,FISHING,412460074,,BZXD34,2018-05-29T00:02:50Z,2025-07-18T23:55:52Z,251.96
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",,ZHOUYUANYU2608 90%,2025-05-22T04:00:00Z,2025-06-30T12:00:00Z,DRIFTING_LONGLINES,FISHING,1073741802,,,2025-02-13T14:49:10Z,2025-06-14T13:43:32Z,581.24
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,ZHOUYUANYU202,2025-02-08T21:00:00Z,2025-06-30T17:00:00Z,DRIFTING_LONGLINES,FISHING,413404430,,BZ7UM,2015-03-21T01:06:49Z,2025-07-18T23:56:48Z,705.21
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",KIR,KIBENA 6,2025-06-17T20:00:00Z,2025-06-17T20:00:00Z,INCONCLUSIVE,FISHING,529044000,1024168,T3AV,2024-11-23T01:39:29Z,2025-07-18T23:45:36Z,0.10
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,XINSHIJI77,2025-04-23T23:00:00Z,2025-06-30T15:00:00Z,DRIFTING_LONGLINES,FISHING,412695620,,BZVZ7,2018-05-21T00:11:44Z,2025-07-18T23:59:29Z,299.95
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",USA,CAPE FERRAT,2025-02-16T16:00:00Z,2025-02-16T21:00:00Z,TUNA_PURSE_SEINES,FISHING,338712000,7803267,WDE2398,2013-10-15T19:01:00Z,2025-07-18T23:57:02Z,3.08
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,HU YU 929,2025-01-12T01:00:00Z,2025-02-20T15:00:00Z,DRIFTING_LONGLINES,FISHING,412371208,,BZV9T,2015-05-15T23:45:55Z,2025-07-18T23:59:58Z,526.93
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,HUA NAN YU 736,2025-06-09T21:00:00Z,2025-06-20T15:00:00Z,DRIFTING_LONGLINES,FISHING,412460075,,BZXD35,2015-11-16T04:05:05Z,2025-07-18T23:56:57Z,181.38
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",ECU,PANAMA TUNA,2024-12-01T06:00:00Z,2024-12-15T18:00:00Z,TUNA_PURSE_SEINES,FISHING,735058003,9175028,HC4697,2012-09-02T02:15:50Z,2025-07-01T12:01:04Z,135.00
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,JIN SHENG NO.3,2024-07-01T00:00:00Z,2024-12-03T17:00:00Z,DRIFTING_LONGLINES,FISHING,412270001,,BZZY9,2021-10-21T09:06:54Z,2025-07-18T07:43:11Z,540.74
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,JIN HUNG HSIAANG,2025-02-18T13:00:00Z,2025-02-18T13:00:00Z,DRIFTING_LONGLINES,FISHING,416002446,,BJ4795,2021-09-14T05:56:50Z,2025-07-18T23:52:01Z,1.05
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,RONGDAYANG29,2025-05-19T16:00:00Z,2025-06-08T13:00:00Z,DRIFTING_LONGLINES,FISHING,412328795,,,2016-04-06T07:00:36Z,2025-07-18T23:47:13Z,432.06
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,JIN FENG 5,2024-11-29T08:00:00Z,2024-12-04T15:00:00Z,DRIFTING_LONGLINES,FISHING,412549294,9931032,SSD,2021-03-03T03:42:32Z,2025-07-02T06:18:46Z,38.38
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",GRC,ZHOUYUANYU2601-4,2024-11-22T19:00:00Z,2025-06-30T23:00:00Z,DRIFTING_LONGLINES,FISHING,240700004,,BO12345,2024-09-03T22:52:08Z,2025-07-18T23:29:26Z,930.10
