Time Range,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,MAAN YU FENG 3,2024-07-20T08:00:00Z,2024-07-20T18:00:00Z,DRIFTING_LONGLINES,FISHING,416003009,,BJ5009,2024-03-27T23:34:38Z,2024-10-26T22:02:06Z,1.86
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",SLB,SOUTHERN SEAS 301,2025-06-02T11:00:00Z,2025-06-21T05:00:00Z,TUNA_PURSE_SEINES,FISHING,557005500,9764415,H4SR,2015-09-21T06:12:04Z,2025-07-18T23:58:28Z,10.91
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,RONGDAYANG28,2024-10-28T16:00:00Z,2024-10-28T20:00:00Z,DRIFTING_LONGLINES,FISHING,412328796,9679696,BBGA8,2023-05-25T08:21:59Z,2025-04-27T20:49:48Z,4.12
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,XINSHIJI77,2025-04-17T02:00:00Z,2025-04-20T16:00:00Z,DRIFTING_LONGLINES,FISHING,412695620,,BZVZ7,2018-05-21T00:11:44Z,2025-07-18T23:59:29Z,32.62
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,FONG KUO NO:189,2024-11-27T20:00:00Z,2024-11-28T01:00:00Z,TUNA_PURSE_SEINES,FISHING,416243700,,BL2113,2013-11-11T07:26:15Z,2025-07-01T18:23:07Z,3.35
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,SHEN LIAN CHENG 881,2025-01-26T01:00:00Z,2025-04-29T12:00:00Z,DRIFTING_LONGLINES,FISHING,412460114,,BZXD92,2020-04-30T11:17:18Z,2025-07-18T23:58:59Z,997.83
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,JIH YU NO:768,2025-03-13T00:00:00Z,2025-06-15T08:00:00Z,TUNA_PURSE_SEINES,FISHING,416247600,9765976,BL 2117,2015-01-12T21:57:52Z,2025-07-09T18:12:45Z,3.73
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,CHU HUAI NO888,2025-01-26T10:00:00Z,2025-01-26T11:00:00Z,DRIFTING_LONGLINES,FISHING,416218800,,BG3889,2024-12-17T03:54:41Z,2025-07-18T23:58:21Z,1.09
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",NRU,OCEAN ENCOUNTER,2024-07-11T20:00:00Z,2025-04-26T00:00:00Z,TUNA_PURSE_SEINES,FISHING,544137120,,WDD9182,2022-03-07T06:36:28Z,2025-06-30T05:48:48Z,13.45
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",USA,CAPE FERRAT,2025-02-22T16:00:00Z,2025-02-24T04:00:00Z,TUNA_PURSE_SEINES,FISHING,338712000,7803267,WDE2398,2013-10-15T19:01:00Z,2025-07-18T23:57:02Z,14.33
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",KOR,NO55SHINYUNG,2024-08-18T20:00:00Z,2024-08-20T16:00:00Z,DRIFTING_LONGLINES,FISHING,440503000,8815724,6MWP,2012-01-01T00:00:06Z,2025-07-18T23:57:32Z,3.19
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",KIR,MARIBO 61,2025-03-07T12:00:00Z,2025-06-29T10:00:00Z,INCONCLUSIVE,FISHING,529051000,1071123,T3GU,2024-12-25T03:22:48Z,2025-06-29T10:35:33Z,154.12
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,WIN FAR 626,2025-05-16T13:00:00Z,2025-05-16T16:00:00Z,TUNA_PURSE_SEINES,FISHING,416500000,8747240,BEAB,2014-12-25T04:57:48Z,2025-07-08T20:38:52Z,3.03
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",KIR,KIBENA 6,2025-04-15T03:00:00Z,2025-06-25T03:00:00Z,INCONCLUSIVE,FISHING,529044000,1024168,T3AV,2024-11-23T01:39:29Z,2025-07-18T23:45:36Z,34.64
