Time Range,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",SLB,SOUTHERN SEAS 301,2025-03-18T08:00:00Z,2025-03-19T15:00:00Z,TUNA_PURSE_SEINES,FISHING,557005500,9764415,H4SR,2015-09-21T06:12:04Z,2025-07-18T23:58:28Z,23.22
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",KIR,MARIBO 61,2025-03-22T12:00:00Z,2025-03-28T02:00:00Z,INCONCLUSIVE,FISHING,529051000,1071123,T3GU,2024-12-25T03:22:48Z,2025-06-29T10:35:33Z,57.58
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",NRU,OCEAN ENCOUNTER,2024-07-12T17:00:00Z,2024-12-23T22:00:00Z,TUNA_PURSE_SEINES,FISHING,544137120,,WDD9182,2022-03-07T06:36:28Z,2025-06-30T05:48:48Z,26.10
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",MHL,KOO`S 103,2024-10-22T08:00:00Z,2025-01-26T22:00:00Z,TUNA_PURSE_SEINES,FISHING,538060023,,V7A5001,2022-01-10T01:42:32Z,2025-07-15T07:07:27Z,17.24
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,ZHONGTAI6,2024-08-14T19:00:00Z,2025-06-17T05:00:00Z,TUNA_PURSE_SEINES,FISHING,412549296,9891218,BZZW9,2020-09-23T01:11:04Z,2025-07-18T23:59:35Z,341.33
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",MHL,UNAAK,2024-08-18T17:00:00Z,2025-01-26T21:00:00Z,TUNA_PURSE_SEINES,FISHING,538060021,9784489,V7A2097,2018-11-15T00:01:53Z,2025-07-10T02:12:07Z,24.34
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",KIR,KIBENA 1,2024-09-26T22:00:00Z,2025-04-07T20:00:00Z,TUNA_PURSE_SEINES,FISHING,529027000,9934424,T3FQ,2022-01-23T03:48:43Z,2025-07-09T04:41:33Z,48.74
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,ZHONG TAI NO.3,2024-08-14T21:00:00Z,2025-06-17T04:00:00Z,TUNA_PURSE_SEINES,FISHING,412270024,9261528,BZZY8,2014-08-29T08:59:08Z,2025-07-18T23:59:58Z,622.54
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",USA,OCEAN EXPEDITION,2024-07-01T01:00:00Z,2024-07-01T06:00:00Z,TUNA_PURSE_SEINES,FISHING,367179000,9097367,WDD9952,2018-08-02T03:49:42Z,2025-06-06T12:16:02Z,5.21
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,FONG KUO NO:188,2025-02-09T05:00:00Z,2025-02-09T16:00:00Z,TUNA_PURSE_SEINES,FISHING,416243600,,BL2115,2013-10-31T08:13:56Z,2025-07-09T04:23:41Z,3.15
