Time Range,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,NO.18 NANKAIMARU,2024-09-02T01:00:00Z,2025-06-06T11:00:00Z,DRIFTING_LONGLINES,FISHING,431680730,,,2015-07-17T06:02:09Z,2025-07-18T12:01:53Z,637.47
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,NO.38MANEIMARU,2024-07-18T17:00:00Z,2024-12-12T01:00:00Z,DRIFTING_LONGLINES,FISHING,431680141,,,2015-07-02T07:28:35Z,2025-07-18T13:04:31Z,990.73
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,,2024-07-15T00:00:00Z,2024-07-17T12:00:00Z,INCONCLUSIVE,FISHING,416000447,,BK6465,2024-07-12T07:40:41Z,2025-04-18T05:05:05Z,45.16
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,NO.18AYAMARU,2024-08-24T00:00:00Z,2024-08-26T20:00:00Z,DRIFTING_LONGLINES,FISHING,431680113,,,2015-07-21T13:21:14Z,2025-07-18T23:57:30Z,6.31
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,JIN CHING FA,2024-07-01T00:00:00Z,2024-11-20T07:00:00Z,INCONCLUSIVE,FISHING,416000447,,BK6465,2023-02-01T03:03:05Z,2025-07-18T23:59:51Z,82.68
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,WAKATAKE MARU,2025-04-28T08:00:00Z,2025-04-28T20:00:00Z,FISHING,FISHING,431454000,9799472,7JXZ,2017-03-08T07:10:54Z,2025-07-18T23:59:23Z,12.46
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,YUHOUMARU NO.38,2024-07-01T11:00:00Z,2025-02-24T19:00:00Z,DRIFTING_LONGLINES,FISHING,431600210,,,2018-09-23T04:08:06Z,2025-07-18T11:47:27Z,311.01
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,HIROMARU,2024-07-01T05:00:00Z,2024-09-28T07:00:00Z,DRIFTING_LONGLINES,FISHING,431680124,,,2015-06-24T01:03:43Z,2025-07-18T23:56:41Z,441.01
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,ZHONGSHUI 917,2024-11-28T13:00:00Z,2024-11-29T02:00:00Z,DRIFTING_LONGLINES,FISHING,412549917,1077438,BZZA,2024-08-14T11:00:41Z,2025-07-18T23:59:28Z,12.06
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,SHOKIMARU NO.31,2024-12-08T15:00:00Z,2024-12-08T15:00:00Z,DRIFTING_LONGLINES,FISHING,431014428,,,2020-09-02T01:26:53Z,2025-06-23T04:33:32Z,0.52
