Time Range,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,HAKKO MARU NO2,2024-07-25T06:00:00Z,2025-03-06T17:00:00Z,TUNA_PURSE_SEINES,FISHING,432487000,,7JAB,2012-01-03T10:13:45Z,2025-07-03T00:59:16Z,23.41
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",SLB,SOUTHERN SEAS 301,2024-07-04T09:00:00Z,2025-05-25T23:00:00Z,TUNA_PURSE_SEINES,FISHING,557005500,9764415,H4SR,2015-09-21T06:12:04Z,2025-07-18T23:58:28Z,30.51
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",VUT,WIN HARVEST 707,2024-07-07T16:00:00Z,2025-02-08T16:00:00Z,TUNA_PURSE_SEINES,FISHING,577384000,,YJWG4,2017-06-06T06:17:25Z,2025-07-17T09:45:25Z,12.92
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",FJI,OCEAN BOUNTIFULNO338,2024-12-29T00:00:00Z,2024-12-29T00:00:00Z,DRIFTING_LONGLINES,FISHING,520225000,,,2014-07-25T07:33:55Z,2025-07-14T20:08:25Z,2.22
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,WIN RICH 707,2025-01-19T17:00:00Z,2025-06-13T20:00:00Z,FISHING,FISHING,416005556,9868637,BL2132,2018-11-12T01:24:07Z,2025-06-17T22:26:26Z,193.17
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",PNG,WINBEST707,2024-07-04T05:00:00Z,2024-12-20T01:00:00Z,TUNA_PURSE_SEINES,FISHING,553111740,8996293,P2V5608,2015-08-26T06:28:04Z,2025-06-26T04:49:48Z,82.06
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,GENPUKU MARU NO.81,2025-01-26T14:00:00Z,2025-01-26T21:00:00Z,INCONCLUSIVE,FISHING,431905000,9902366,7KHF,2020-09-11T02:27:43Z,2025-07-18T23:59:27Z,6.48
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,SAN SHENG FA NO TIEN,2025-02-01T08:00:00Z,2025-02-01T10:00:00Z,DRIFTING_LONGLINES,FISHING,416069700,,BJ4591,2021-09-09T08:03:52Z,2025-07-18T23:43:47Z,2.56
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,LIAOYUANYU101,2024-07-01T00:00:00Z,2025-06-30T15:00:00Z,DRIFTING_LONGLINES,FISHING,412549221,,BZZH,2019-11-04T02:38:15Z,2025-07-18T23:57:58Z,3312.93
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",NLD,ALLANKAY,2025-06-22T02:00:00Z,2025-06-30T23:00:00Z,INCONCLUSIVE,FISHING,244731699,9188960,PG6110,2023-01-20T07:46:12Z,2025-07-17T07:22:04Z,123.35
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,RYOAN MARU NO.85,2024-07-02T23:00:00Z,2024-07-26T16:00:00Z,DRIFTING_LONGLINES,FISHING,432319000,8974661,JCHG,2012-01-11T10:39:24Z,2025-07-18T23:55:53Z,349.91
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,LURONGYUANYU769,2025-01-01T00:00:00Z,2025-06-30T15:00:00Z,DRIFTING_LONGLINES,FISHING,412329429,,BBKF1,2021-07-26T02:55:25Z,2025-07-18T23:58:40Z,3020.42
