Time Range,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",FSM,CFA22,2024-12-12T01:00:00Z,2025-06-30T14:00:00Z,DRIFTING_LONGLINES,FISHING,510051000,8795625,V6P22,2023-06-06T03:31:38Z,2025-07-18T23:56:36Z,2068.55
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",MHL,SLC 725,2024-07-01T00:00:00Z,2024-10-13T17:00:00Z,DRIFTING_LONGLINES,FISHING,538060014,,V6P725,2024-05-31T16:15:19Z,2024-10-15T17:01:28Z,1002.73
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,MAAN YU FENG 3,2024-07-21T03:00:00Z,2024-07-26T05:00:00Z,DRIFTING_LONGLINES,FISHING,416003009,,BJ5009,2024-03-27T23:34:38Z,2024-10-26T22:02:06Z,4.16
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,MAAN YU FENG 368,2025-06-27T17:00:00Z,2025-06-30T08:00:00Z,DRIFTING_LONGLINES,FISHING,416003703,,BG3805,2024-10-21T20:42:17Z,2025-07-18T23:54:57Z,18.42
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,INARIMARU NO.85,2024-12-26T07:00:00Z,2025-01-05T07:00:00Z,POLE_AND_LINE,FISHING,432507000,9326263,7JAN,2016-05-25T00:36:58Z,2025-07-18T23:59:59Z,75.57
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,YI RONG NO268,2025-06-11T03:00:00Z,2025-06-11T20:00:00Z,DRIFTING_LONGLINES,FISHING,416008922,,,2022-06-07T01:31:18Z,2025-07-18T23:58:30Z,6.42
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,JIN HAI758,2024-08-16T09:00:00Z,2024-08-16T10:00:00Z,FISHING,FISHING,412420984,,BZV1Y,2018-05-09T16:27:36Z,2025-07-18T21:58:02Z,1.76
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,HUA NAN YU 762,2024-07-16T08:00:00Z,2025-06-30T23:00:00Z,SET_LONGLINES,FISHING,412465075,,,2016-05-04T05:40:28Z,2025-07-18T23:57:49Z,2274.52
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,NO7.FUKUKYUMARU,2025-01-16T06:00:00Z,2025-01-16T15:00:00Z,DRIFTING_LONGLINES,FISHING,431733000,9951202,7KLW,2022-07-14T00:58:54Z,2025-07-18T23:59:35Z,8.04
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,KYOYOMARU NO.3,2025-02-08T17:00:00Z,2025-03-26T08:00:00Z,POLE_AND_LINE,FISHING,431487000,9194945,JDYU,2022-01-16T23:38:15Z,2025-07-18T23:58:47Z,135.31
