Time Range,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,ZHONGSHUI718,2024-07-01T00:00:00Z,2025-06-30T23:00:00Z,DRIFTING_LONGLINES,FISHING,412549002,,BZYZ2,2023-04-05T20:03:29Z,2025-07-18T23:56:43Z,3811.22
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CXR,CT5-167102-87%,2025-05-26T10:00:00Z,2025-05-31T18:00:00Z,SQUID_JIGGER,FISHING,5167102,,88%,2025-05-25T06:42:13Z,2025-06-02T22:52:26Z,66.87
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",SLB,SOUTHERN SEAS 301,2024-11-07T20:00:00Z,2025-05-29T23:00:00Z,TUNA_PURSE_SEINES,FISHING,557005500,9764415,H4SR,2015-09-21T06:12:04Z,2025-07-18T23:58:28Z,11.88
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,SAN SHENG FA NO TIEN,2024-07-01T00:00:00Z,2025-06-30T19:00:00Z,DRIFTING_LONGLINES,FISHING,416069700,,BJ4591,2021-09-09T08:03:52Z,2025-07-18T23:43:47Z,5340.40
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",NLD,ALLANKAY,2025-06-18T20:00:00Z,2025-06-21T03:00:00Z,INCONCLUSIVE,FISHING,244731699,9188960,PG6110,2023-01-20T07:46:12Z,2025-07-17T07:22:04Z,28.35
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",PNG,WINBEST707,2024-11-23T23:00:00Z,2024-11-26T04:00:00Z,TUNA_PURSE_SEINES,FISHING,553111740,8996293,P2V5608,2015-08-26T06:28:04Z,2025-06-26T04:49:48Z,10.14
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",FJI,OCEAN BOUNTIFULNO338,2024-08-22T18:00:00Z,2025-05-09T09:00:00Z,DRIFTING_LONGLINES,FISHING,520225000,,,2014-07-25T07:33:55Z,2025-07-14T20:08:25Z,2595.61
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",KOR,OCEAN MASTER,2024-07-08T16:00:00Z,2024-09-23T09:00:00Z,TUNA_PURSE_SEINES,FISHING,440823000,8812227,6MOU,2012-01-01T01:28:20Z,2025-07-11T05:06:24Z,8.61
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,LURONGYUANYU209,2025-06-22T17:00:00Z,2025-06-23T07:00:00Z,DRIFTING_LONGLINES,FISHING,412331063,,,2015-11-06T07:47:58Z,2025-07-18T23:38:59Z,14.33
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",NRU,KAOHSIUNG MANZAI 707,2024-10-13T19:00:00Z,2024-10-13T22:00:00Z,INCONCLUSIVE,FISHING,544181120,8996308,C2DI2,2024-07-30T21:50:53Z,2025-07-18T19:33:22Z,3.04
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,ZHONGSHUI738,2024-07-01T03:00:00Z,2025-06-30T17:00:00Z,DRIFTING_LONGLINES,FISHING,412549004,,SSD,2023-12-13T17:30:40Z,2025-07-18T23:33:26Z,4342.28
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",NRU,OCEAN ENCOUNTER,2024-08-07T18:00:00Z,2025-05-22T21:00:00Z,TUNA_PURSE_SEINES,FISHING,544137120,,WDD9182,2022-03-07T06:36:28Z,2025-06-30T05:48:48Z,20.68
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,ZHONGSHUI806,2024-08-09T23:00:00Z,2025-06-30T23:00:00Z,DRIFTING_LONGLINES,FISHING,412326902,8629010,BZYJ3,2015-07-10T12:01:54Z,2025-07-18T23:51:13Z,2445.75
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,,2025-06-06T17:00:00Z,2025-06-15T11:00:00Z,DRIFTING_LONGLINES,FISHING,416003575,,BJ4927,2018-11-23T00:02:19Z,2025-06-16T02:43:44Z,200.75
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,TOKIWAMARU NO.18,2025-01-20T19:00:00Z,2025-01-21T19:00:00Z,FISHING,FISHING,431310000,,JJHJ,2012-08-05T11:48:48Z,2025-07-07T04:56:27Z,8.91
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,ZHONG SHUI 777,2024-08-24T05:00:00Z,2024-10-22T10:00:00Z,DRIFTING_LONGLINES,FISHING,412549264,9910026,BZYQ2,2020-04-16T01:35:02Z,2025-07-18T23:58:33Z,897.42
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,WIN FAR 626,2024-10-28T21:00:00Z,2024-11-04T15:00:00Z,TUNA_PURSE_SEINES,FISHING,416500000,8747240,BEAB,2014-12-25T04:57:48Z,2025-07-08T20:38:52Z,11.17
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,SAN LAI FA NO 26,2024-07-01T03:00:00Z,2025-06-30T23:00:00Z,DRIFTING_LONGLINES,FISHING,416127700,,BJ4587,2016-08-26T07:11:27Z,2025-07-18T23:36:08Z,4347.72
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",KOR,SEGYERO,2024-07-09T15:00:00Z,2024-12-13T19:00:00Z,TUNA_PURSE_SEINES,FISHING,440195000,9713973,6KCD2,2014-04-22T07:18:07Z,2025-06-24T03:06:14Z,12.97
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",FSM,MICRONESIA 106,2024-10-31T21:00:00Z,2024-10-31T21:00:00Z,TUNA_PURSE_SEINES,FISHING,510084000,9817224,V6PM6,2017-04-13T01:57:12Z,2025-07-07T07:20:17Z,0.32
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,SAN SHENG FA NO.3,2024-07-03T19:00:00Z,2024-12-24T16:00:00Z,SET_LONGLINES,FISHING,416193900,,BJ4737,2015-05-07T11:39:13Z,2025-02-03T06:51:06Z,2876.59
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",KOR,SAJO POSEDONIA,2024-12-28T19:00:00Z,2024-12-28T19:00:00Z,TUNA_PURSE_SEINES,FISHING,441930000,,6KCC5,2013-11-26T02:02:47Z,2025-06-27T07:45:48Z,0.45
