Time Range,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",ESP,VIKING BAY,2024-11-27T11:00:00Z,2024-11-27T13:00:00Z,DRIFTING_LONGLINES,FISHING,224342000,9221516,EAWJ,2012-01-01T00:53:03Z,2025-07-18T23:58:48Z,2.17
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",USA,CAPE FERRAT,2025-03-27T14:00:00Z,2025-03-27T23:00:00Z,TUNA_PURSE_SEINES,FISHING,338712000,7803267,WDE2398,2013-10-15T19:01:00Z,2025-07-18T23:57:02Z,6.74
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,RONG HENG 13,2025-04-12T00:00:00Z,2025-04-13T01:00:00Z,DRIFTING_LONGLINES,FISHING,412354269,8689230,BZU5Q,2022-11-25T14:56:05Z,2025-07-18T23:57:52Z,5.35
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,SHUN JIE,2024-08-14T09:00:00Z,2025-02-11T11:00:00Z,DRIFTING_LONGLINES,FISHING,416006196,,BJ5172,2024-08-08T20:56:49Z,2025-02-11T21:57:40Z,789.15
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,ZHONGSHUI 937,2025-06-30T11:00:00Z,2025-06-30T23:00:00Z,DRIFTING_LONGLINES,FISHING,412549937,1077452,BZZA3,2024-11-20T01:14:29Z,2025-07-18T23:58:46Z,3.10
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",FJI,WINNING 6,2024-07-01T00:00:00Z,2025-06-30T23:00:00Z,DRIFTING_LONGLINES,FISHING,520145000,,3DZK,2015-07-29T07:46:23Z,2025-07-18T22:41:53Z,4816.24
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,SUI YUAN YU 35,2024-08-16T00:00:00Z,2024-08-16T08:00:00Z,DRIFTING_LONGLINES,FISHING,412499943,,SSD,2024-08-13T04:22:05Z,2025-06-17T21:50:09Z,9.25
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",FJI,HSIN LONG 1,2024-07-01T00:00:00Z,2025-06-30T23:00:00Z,DRIFTING_LONGLINES,FISHING,520174000,,3DWI,2015-11-16T22:14:26Z,2025-07-18T23:48:07Z,3949.22
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,SHUN JIE,2024-07-01T08:00:00Z,2025-06-09T08:00:00Z,DRIFTING_LONGLINES,FISHING,416006196,,BJ5172,2020-03-09T03:42:46Z,2025-07-07T21:00:02Z,731.72
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",NZL,REEL EASY,2024-08-04T21:00:00Z,2024-11-18T21:00:00Z,FISHING,FISHING,512011092,,ZMU9740,2023-03-24T07:56:25Z,2024-11-18T21:59:42Z,140.31
