Time Range,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,LURONGYUANYU900,2024-09-07T03:00:00Z,2024-10-31T14:00:00Z,DRIFTING_LONGLINES,FISHING,412336913,,,2019-01-05T02:39:54Z,2025-07-18T23:45:34Z,1067.46
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,RONGDAYANG28,2024-08-07T10:00:00Z,2024-10-06T10:00:00Z,DRIFTING_LONGLINES,FISHING,412328796,9679696,BBGA8,2023-05-25T08:21:59Z,2025-04-27T20:49:48Z,855.88
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,LURONGYUANYU776,2024-07-03T08:00:00Z,2024-12-14T16:00:00Z,DRIFTING_LONGLINES,FISHING,412549261,9910856,BZVQ6,2022-12-02T10:36:07Z,2025-07-18T23:29:11Z,2900.82
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,HUA NAN YU732,2025-02-14T03:00:00Z,2025-02-14T03:00:00Z,DRIFTING_LONGLINES,FISHING,412460074,,BZXD34,2018-05-29T00:02:50Z,2025-07-18T23:55:52Z,0.22
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",GRC,ZHOUYUANYU202-5,2024-09-07T04:00:00Z,2024-10-18T21:00:00Z,DRIFTING_LONGLINES,FISHING,240700040,,BO12345,2024-09-02T18:47:16Z,2024-10-18T21:22:06Z,726.26
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",KOR,TONINA5,2024-09-05T09:00:00Z,2024-09-05T10:00:00Z,DRIFTING_LONGLINES,FISHING,440645000,9001423,6NKA,2012-01-01T00:00:06Z,2025-07-18T23:58:09Z,1.26
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",USA,CAPE FERRAT,2025-02-20T02:00:00Z,2025-02-27T21:00:00Z,TUNA_PURSE_SEINES,FISHING,338712000,7803267,WDE2398,2013-10-15T19:01:00Z,2025-07-18T23:57:02Z,49.39
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,ZHOUYUANYU202,2024-09-06T21:00:00Z,2024-11-24T12:00:00Z,DRIFTING_LONGLINES,FISHING,413404430,,BZ7UM,2015-03-21T01:06:49Z,2025-07-18T23:56:48Z,905.25
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,MAN YI FENG NO.66,2024-07-01T00:00:00Z,2024-07-01T00:00:00Z,DRIFTING_LONGLINES,FISHING,416195900,,BG4006,2024-04-08T05:57:20Z,2025-07-18T23:55:15Z,0.66
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,HU YU 929,2025-05-30T01:00:00Z,2025-06-30T23:00:00Z,DRIFTING_LONGLINES,FISHING,412371208,,BZV9T,2015-05-15T23:45:55Z,2025-07-18T23:59:58Z,474.36
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",GRC,ZHOUYUANYU2601-4,2024-09-23T21:00:00Z,2024-10-21T17:00:00Z,DRIFTING_LONGLINES,FISHING,240700004,,BO12345,2024-09-03T22:52:08Z,2025-07-18T23:29:26Z,656.10
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",KOR,NO55SHINYUNG,2024-08-20T17:00:00Z,2024-08-20T17:00:00Z,DRIFTING_LONGLINES,FISHING,440503000,8815724,6MWP,2012-01-01T00:00:06Z,2025-07-18T23:57:32Z,0.58
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,SING MAN YI NO3,2024-07-23T03:00:00Z,2024-07-23T06:00:00Z,DRIFTING_LONGLINES,FISHING,416230800,,BJ5025,2015-02-14T02:22:33Z,2025-07-18T23:58:42Z,1.04
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,RONGDAYANG29,2025-06-09T15:00:00Z,2025-06-30T22:00:00Z,DRIFTING_LONGLINES,FISHING,412328795,,,2016-04-06T07:00:36Z,2025-07-18T23:47:13Z,181.28
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,LURONGYUANYU798,2025-01-01T04:00:00Z,2025-06-13T10:00:00Z,DRIFTING_LONGLINES,FISHING,412328715,,BBKV5,2019-01-23T04:26:48Z,2025-06-17T10:30:53Z,1680.53
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,YI TIAN,2025-06-10T03:00:00Z,2025-06-12T04:00:00Z,DRIFTING_LONGLINES,FISHING,416142600,,BH3368,2025-02-24T02:26:33Z,2025-07-18T23:59:21Z,10.72
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",FJI,WINFULL182,2024-10-20T08:00:00Z,2024-11-09T14:00:00Z,DRIFTING_LONGLINES,FISHING,520156000,,3DWT,2023-06-11T01:11:52Z,2025-07-18T20:09:53Z,249.63
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,SHENG LIAN SHIANG 1,2024-10-06T10:00:00Z,2024-10-06T10:00:00Z,DRIFTING_LONGLINES,FISHING,416004043,,BJ5040,2016-04-28T11:46:57Z,2025-07-18T23:59:08Z,0.66
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,ZHONGTAI6,2024-12-13T10:00:00Z,2025-01-28T18:00:00Z,TUNA_PURSE_SEINES,FISHING,412549296,9891218,BZZW9,2020-09-23T01:11:04Z,2025-07-18T23:59:35Z,50.83
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",MHL,UNAAK,2025-02-13T16:00:00Z,2025-02-16T20:00:00Z,TUNA_PURSE_SEINES,FISHING,538060021,9784489,V7A2097,2018-11-15T00:01:53Z,2025-07-10T02:12:07Z,26.29
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",,NET MARK-ZYY2605-01,2024-10-03T18:00:00Z,2024-11-24T12:00:00Z,DRIFTING_LONGLINES,FISHING,98344714,,WB-0001,2019-05-06T13:24:47Z,2025-07-18T23:59:18Z,773.32
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",KIR,KIBENA 1,2024-10-17T12:00:00Z,2025-04-20T20:00:00Z,TUNA_PURSE_SEINES,FISHING,529027000,9934424,T3FQ,2022-01-23T03:48:43Z,2025-07-09T04:41:33Z,22.39
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",KOR,F/V.MIRAERO,2025-03-19T00:00:00Z,2025-03-19T21:00:00Z,TUNA_PURSE_SEINES,FISHING,440226000,9713985,6KCD5,2016-08-12T22:30:56Z,2025-06-27T06:37:09Z,1.81
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,YU FENG NO13,2024-07-21T13:00:00Z,2024-12-20T11:00:00Z,FIXED_GEAR,FISHING,416000069,,BG3796,2021-05-04T02:48:35Z,2025-07-18T23:39:31Z,5.88
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",,NET MARK-ZYY2605-03,2024-10-03T04:00:00Z,2024-11-24T12:00:00Z,DRIFTING_LONGLINES,FISHING,98344773,,WB-0003,2019-07-12T15:44:50Z,2025-01-07T07:39:40Z,793.34
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,LURUYUANYU138,2024-07-26T02:00:00Z,2024-11-29T05:00:00Z,DRIFTING_LONGLINES,FISHING,412549263,,BZ8UQ,2020-06-03T00:37:04Z,2025-05-08T12:06:24Z,1539.12
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",GRC,ZHOUYUANYU202-3,2024-09-06T19:00:00Z,2024-11-24T22:00:00Z,DRIFTING_LONGLINES,FISHING,240700038,,BO12345,2024-09-02T18:14:47Z,2025-02-04T20:56:19Z,1137.83
