Time Range,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,NO83INARIMARU,2025-03-15T04:00:00Z,2025-03-15T12:00:00Z,POLE_AND_LINE,FISHING,431903000,9156747,JHQK,2014-04-04T00:56:16Z,2025-07-18T23:59:53Z,6.78
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,GENPUKU MARU NO.81,2024-09-21T23:00:00Z,2024-09-22T00:00:00Z,INCONCLUSIVE,FISHING,431905000,9902366,7KHF,2020-09-11T02:27:43Z,2025-07-18T23:59:27Z,0.89
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,YUAN LONG,2024-07-22T18:00:00Z,2024-07-22T18:00:00Z,DRIFTING_LONGLINES,FISHING,416009187,,BH3555,2022-12-15T01:09:27Z,2025-07-18T23:59:38Z,0.05
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,ZHI JI FENG NO6,2025-03-02T00:00:00Z,2025-03-02T00:00:00Z,DRIFTING_LONGLINES,FISHING,416002445,,BJ4804,2012-10-08T00:36:48Z,2025-07-18T23:29:00Z,11.99
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,ZHEN FENG NO.2,2024-08-25T17:00:00Z,2024-08-25T17:00:00Z,DRIFTING_LONGLINES,FISHING,416003869,,BJ4527,2016-04-27T18:54:13Z,2024-09-12T03:43:56Z,0.81
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,MIAMARU NO.78,2024-08-06T04:00:00Z,2024-08-06T05:00:00Z,DRIFTING_LONGLINES,FISHING,431005871,,,2016-04-14T05:11:50Z,2025-06-19T00:31:44Z,1.17
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",KIR,TEMANIM 02,2024-09-21T20:00:00Z,2024-09-22T02:00:00Z,DRIFTING_LONGLINES,FISHING,529034000,9963188,T3FW,2024-08-03T02:23:26Z,2025-07-18T23:59:21Z,3.39
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",KOR,NO.1 CHIL SUNG,2024-07-17T01:00:00Z,2024-07-17T04:00:00Z,DRIFTING_LONGLINES,FISHING,440821000,8717855,HLJC,2012-02-07T21:10:24Z,2025-07-18T23:59:26Z,2.41
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,CHANG YI NO.38,2024-11-27T18:00:00Z,2024-11-27T18:00:00Z,DRIFTING_LONGLINES,FISHING,416217900,,BJ4986,2018-09-04T07:11:25Z,2025-03-21T09:34:47Z,0.16
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",KOR,316ORYONG,2024-08-08T00:00:00Z,2024-08-08T06:00:00Z,DRIFTING_LONGLINES,FISHING,440986000,9042037,6MBQ,2012-01-01T01:35:53Z,2025-07-18T23:58:32Z,4.07
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,CHINLONGFA,2025-02-09T12:00:00Z,2025-02-09T17:00:00Z,DRIFTING_LONGLINES,FISHING,416001833,,BJ4744,2015-03-24T02:57:13Z,2025-07-18T23:23:47Z,2.10
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,JIN SING SHYANG NO11,2025-03-02T12:00:00Z,2025-03-02T15:00:00Z,DRIFTING_LONGLINES,FISHING,416003484,,BJ4998,2019-06-28T15:01:21Z,2025-06-15T12:07:44Z,0.75
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,ZHOUYUANYU2601,2024-08-21T18:00:00Z,2024-08-22T03:00:00Z,DRIFTING_LONGLINES,FISHING,412420898,,BZQU9,2018-05-20T08:05:58Z,2025-07-18T23:58:52Z,4.12
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,JIN HSIANG FA,2024-09-20T05:00:00Z,2024-09-21T13:00:00Z,DRIFTING_LONGLINES,FISHING,416077500,,BJ2001,2015-06-26T03:23:43Z,2025-07-18T23:31:12Z,15.38
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,MEIHO MARU NO.22,2025-04-21T05:00:00Z,2025-04-21T06:00:00Z,POLE_AND_LINE,FISHING,431801000,9119751,JDUT,2024-02-16T05:16:40Z,2025-07-18T23:59:47Z,0.86
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,KINEI MARU NO.53,2025-01-30T21:00:00Z,2025-01-31T00:00:00Z,DRIFTING_LONGLINES,FISHING,431380000,9189031,JBAS,2012-01-01T00:17:22Z,2025-07-18T23:58:17Z,2.26
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,CHIN MAN FA NO 12,2024-08-12T13:00:00Z,2024-08-12T14:00:00Z,DRIFTING_LONGLINES,FISHING,416002343,,BJ4431,2024-04-01T01:44:42Z,2025-07-18T20:42:29Z,1.07
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,JIN HO NO33,2025-02-04T23:00:00Z,2025-02-04T23:00:00Z,DRIFTING_LONGLINES,FISHING,416070700,,BJ4621,2022-11-15T01:19:24Z,2025-07-17T00:18:11Z,0.25
