vessel_name,owner,owner_address,vessel_type,flag,owner_location,home_port
OCEAN STAR,MED BFT VESSEL LIMITED,"Hangar, Triq it-Trunciera, Marsaxlokk, MXK 1522, Malta",Fish carrier,PAN,"('MXK 1522', 'MLT')","('Panama', 'PAN')"
MONTELAPE,"Oakcity Tuna Fishing Corporation, S.A. de C.V.","CALLE LOMA LINDA, NO.251, COLONIA SAN BENITOSAN SALVADOR, EL SALVADOR",Tuna purse seiner,SLV,"('COLONIA SAN BENITOSAN SALVADOR', 'SLV')","('La Union', 'SLV')"
MONTELUCIA,OAKCITY TUNA FISHING CORPORATION S.A de C.V.,"CALLE LOMA LINDA, NO.251, COLONIA SAN BENITOSAN SALVADOR, EL SALVADOR",Tuna purse seiner,SLV,"('COLONIA SAN BENITOSAN SALVADOR', 'SLV')","('La Union', 'SLV')"
MONTEROCIO,OAKCITY TUNA FISHING CORPORATION S.A de C.V.,"CALLE LOMA LINDA, NO.251, COLONIA SAN BENITOSAN SALVADOR, EL SALVADOR",Tuna purse seiner,SLV,"('COLONIA SAN BENITOSAN SALVADOR', 'SLV')","('La Union', 'SLV')"
CHANG YI NO368,"HAI CHAN YANG FISHERY CO.,LTD","No. 971-6, Wufang Rd., Xinyuan Township, Pingtung County 932019 , Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 932019', None)","('Kaohsiung', None)"
TOSAKAIEN MARU,KOCHI KEN,"1-2-20,MARUNOUCHI,KOCHI-SHI,KOCHI,JAPAN",Fishery research vessel,JPN,"('KOCHI', 'JPN')","('Kochi', 'JPN')"
FUJITAFUJI MARU,"FUJITA GYOGYOU COMPANY., Ltd.","1698-2, KUBOTSU, TOSASHIMIZU-SHI, KOCHI, JAPAN",Tuna longliner,JPN,"('KOCHI', 'JPN')","('Tosashimizu', 'JPN')"
HUA NAN YU 769,"CHINA SOUTHERN FISHERY(SHENZHEN)  CO.,LTD","4205A Landmark Tower,4028 Jintian Rd, Futian District, Shenzhen, China.",Longliner,CHN,"('Shenzhen', None)","('Shekou', 'CHN')"
QUEEN JANICE-101,TSP LIVESTOCK & DEVELOPMENT CORPORATION,"Cabu, Bawing, General Santos City",Tuna purse seiner,PHL,"('Bawing', None)","('General Santos', 'PHL')"
PRINCESS JASMINE,DANG FISHERY INC,"1135 N NIMITZ HWY, HONOLULU, HI 96817-4522, USA",Tuna longliner,USA,"('HI 96817-4522', None)","('Honolulu', None)"
PRINCESS JASMINE II,NGUYEN FISHERY INC,"1135 N NIMITZ HWY, HONOLULU, HI 96817-4522, USA",Tuna longliner,USA,"('HI 96817-4522', None)","('Honolulu', None)"
DONGYU1536,"Zhejiang Xingpeng Ocean Fishery CO.,LTD","Room 503,5F,Building 1,No.1Xingye Road,Ganlan Town,Dinghai District,Zhoushan,Zhejiang",Longliner,CHN,"('Zhoushan', None)","('Zhoushan', 'CHN')"
DONGYU1518,"Zhejiang Xingpeng Ocean Fishery CO.,LTD","Room503,5F,Building 1, No.1 Xingye Road, GanlanTown, Dinghai, District,Zhoushan,Zhejiang",Longliner,CHN,"('Zhoushan', None)","('Zhoushan', 'CHN')"
SUIYUANYU35,GUANGZHOU PELAGIC FISHERY CO. LTD.,"Pharmaceutical Building,NO.2846,Xingang East Road,Haizhu District,Guangzhou",Longliner,CHN,"('Haizhu District', None)","('Guangzhou', 'CHN')"
ZHONG RONG 15,"RONGCHENG OCEAN FISHERY CO., LTD",RONGCHENG  SHANDONG,Longliner,CHN,"(None, None)","('Shidao', 'CHN')"
