flag,vessel_name,mmsi,imo,rmi_eez_fishing_hours,tonga_eez_fishing_hours,nauru_eez_fishing_hours,vanuatu_eez_fishing_hours,hsp2_fishing_hours,hsp3_fishing_hours,hsp1_fishing_hours,usa2_eez_fishing_hours,hsp4_fishing_hours,hsp5_fishing_hours,usa_eez_fishing_hours,hsp7_fishing_hours,hsp6_fishing_hours,palau_eez_fishing_hours,fsm_eez_fishing_hours,kirbati2_eez_fishing_hours,png_eez_fishing_hours,fiji_eez_fishing_hours,tuvalu_eez_fishing_hours,kiribati1_eez_fishing_hours,solomon_islands_eez_fishing_hours
ALB,08106,201708106,,,,,,1204.1,,943.85,,,,,,,,,,,,,,
ALB,XIN MING CAI,201601665,,,,,,2640.31,,171.96,,,,,,,,2.04,,,,,,
AUS,D&D,503062760,,,,,83.43,,,,,,,,,,,,,,,,,
CHN,DAYANG6-2,412006002,,,,,,,,,,,,,,,,,,,368.82,,,
CHN,DONG YU 1521,412421095,,,,,,,,,,,,,22.86,291.1,,,1421.71,,,,741.84,
CHN,FENG XIANG 818,412439604,8996176,,,12.19,,,,,,,,,,,,74.01,,206.3,,,20.68,
CHN,GUANGYUANYU331,412549559,1016616,,,,,,,,,,,,184.43,88.2,,,470.04,,19.77,,,
CHN,GUANGYUANYU332,412549561,1016630,,3.69,,,,,,,,,,,,,,,,7.48,,,
CHN,GUANGYUANYU333,412549562,1016642,,,,,,,,,419.63,,,,,,,,,31.1,,872.1,
CHN,GUANGYUANYU335,412549563,1016678,,,,,,,,,,,,67.97,,,,,,22.74,,,
CHN,GUANGYUANYU336,412483615,,,6.98,,961.78,,,,,,245.74,,,,,,,,21.38,,,
CHN,GUANGYUANYU33603,412033603,,,,,1402.88,,,,,,358.7,,,,,,,,,,,
CHN,GUANGYUANYU33606,412033606,,,,,1474.28,,,,,,319.5,,,,,,,,0.0,,,
CHN,GUANGYUANYU338,412460084,,,10.69,,2005.22,,,,,,669.11,,,,,,,,23.59,,,
CHN,GUANGYUANYU339,412460083,,,,,297.99,,,,,290.78,901.27,,,,,,,,0.26,,1443.02,
CHN,GYY333-10,412333010,,,,,,,,,,546.25,,,,,,,,,,,1454.18,
CHN,GYY335-03,412335003,,,,,,,,,,,,,76.68,,,,,,,,,
CHN,GYY335-10,412335010,,,,,,,,,,,,,100.7,,,,,,,,,
CHN,GYY336-03,412336003,,,,,1456.2,,,,,,341.55,,,,,,,,,,,
CHN,GYY336-04,412336004,,,,,1506.55,,,,,,384.39,,,,,,,,0.0,,,
CHN,GYY338-01,412338001,,,,,1428.54,,,,,,217.9,,,,,,,,,,,
CHN,GYY338-03,412338003,,,,,642.51,,,,,,,,,,,,,,,,,
CHN,GYY339-02,412339002,,,,,167.19,,,,,236.29,500.05,,,,,,,,,,1569.51,
CHN,HAI XING 715,412420433,,,,,,,,,,,,,22.94,,,,328.13,,,,,
CHN,HAI XING 716,412420434,,,,,,,,,,,,,36.67,,,,,,,,,
CHN,HAI XING 718,412420436,,,,,,,,,,,,,,,,,276.27,,,,,
CHN,HAI XING 815,412420863,,,,,,,,,,,,,4.0,,,,295.55,,,,,
CHN,HAIXING717,412420435,,,,,,,,,,,,,11.45,,,,,,,,,
CHN,HAIXING817,412420865,,,,,,,,,,,,,63.625,,,,595.49,,,,,
CHN,HAO YANG 77,412217989,9038153,,,274.04,,,,,,,,,,,,,,,,40.89,563.78,42.44
CHN,HAO YANG 88,412217991,8608690,,,,,,,,,,,,,,,,,,,,348.53,
CHN,HNY 702,412464153,,1757.19,,,,,,,,,,,,,,,,,,,,
CHN,HNY717,412460004,,,,,,,,,,,,,214.49,,,,,,,,,
CHN,HNY721,412460007,,,,,,,,,,,,,,159.52,,1238.95,,,,,6.03,
CHN,HNY736,412460075,,,,,,,,,,,,,398.72,,,,,,,,,
CHN,HNY739,412460113,,,,,,,,,,,,,,15.2,,,,,,,1364.31,
CHN,HNY761,412465076,,3188.01,,,,,,,,,,,,,,,,,,,,
CHN,HONG YANG 8,412326798,,,,,,,,,,1735.1,38.05,,156.76,,,,,,33.2,,,
CHN,HONG YANG 88,412326873,,,,,18.5,,,,,177.98,56.84,,1799.05,680.51,,,,2249.14,9.23,,,21.28
CHN,HONG YANG 9,412326799,,,,,,,,,,,,,780.59,501.66,,,,,14.32,,,
