original_address,new_address,owner_providence_state,owner_country,owner_latitude,owner_longitude
"Room503,5F,Building 1, No.1 Xingye Road, GanlanTown, Dinghai, District,Zhoushan,Zhejiang","Room 503, 5F, Building 1, No. 1 Xingye Road, Ganlan Town, Dinghai District, Zhoushan, Zhejiang",Zhejiang,CHN,29.98333,122.11333
"ROOM 1606 DIAMOND PLAZA,415 JIANGAN ROAD,JIANGBEI DISTRICT,NINGBO,CHINA","ROOM 1606 DIAMOND PLAZA, 415 JIANGAN ROAD, JIANGBEI DISTRICT -- NINGBO, ZHEJIANG -- CHN -- 29.88302 -- 121.55043",,,,
"Building 3, 87 Yuan 'an xinjie, Haizhu District, Guangzhou City, China","Building 3, 87 Yuan 'an xinjie, Haizhu District, Guangzhou City",Guangdong Province,CHN,23.104274,113.281733
"Room 1401,No.644 Tongfu Road East, Guangzhou, China","Room 1401, No. 644 Tongfu Road East","Guangzhou, Guangdong",CHN,23.1395,113.27523
"Room 1401, No.644 Tongfu Road East, Guangzhou, P.R. China","Room 1401, No.644 Tongfu Road East","Guangzhou, Guangdong",CHN,23.13867,113.26788
"Room606,NO.1-6 Shanghui Road ,Ganlan Town,Dinghai District,Zhoushan City,Zhejiang Province","Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province",Zhejiang Province,CHN,29.94556,122.2225
"Room 301, 3rd Floor, No.47-22 Daqing Road, Weihai Economic and Technological Development Zone, Shandong Province","Room 301, 3rd Floor, No.47-22 Daqing Road, Weihai Economic and Technological Development Zone",Shandong Province,CHN,37.50778,122.055
"Room606,NO.1-6 Shanghui Road,Ganlan Town,Dinghai District,Zhoushan City,Zhejiang Province","Room 606, No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province","Zhoushan, Zhejiang",CHN,29.97881,122.21942
"Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province","Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",Shandong,CHN,37.06912,122.37983
No.661 AnPu Road Shanghai CHINA,No. 661 AnPu Road,Shanghai,CHN,31.21808,121.4292
"4205A Landmark Tower,4028 Jintian Rd,Futian District,Shenzhen,China","4205A Landmark Tower, 4028 Jintian Rd, Futian District",Shenzhen,CHN,22.549969,114.054586
"4205A Landmark Tower,4028 Jintian Rd, Futian District, Shenzhen, China.","4205A Landmark Tower, 4028 Jintian Rd, Futian District",Guangdong,CHN,22.548875,114.059951
"4205A Landmark Tower, 4028 Jintian Road, Futian District, Shenzhen, China 518035","4205A Landmark Tower, 4028 Jintian Road, Futian District, Shenzhen, China 518035","Shenzhen, Guangdong",CHN,22.545,114.0315
"4205A Landmark Tower,4028 JintianRoad, Futian District, Shenzhen, China518035.","4205A Landmark Tower, 4028 Jintian Road, Futian District, Shenzhen, China 518035","Shenzhen, Guangdong",CHN,22.53921,114.05442
"4205A Landmark Tower,4028 JintianRoad, Futian District, Shenzhen, China518035","4205A Landmark Tower, 4028 Jintian Road, Futian District",Shenzhen,CHN,22.53949,114.05415
"4205A Landmark Tower,4028 Jintian Road, Futian District, Shenzhen, China.","4205A Landmark Tower, 4028 Jintian Road, Futian District",Shenzhen,CHN,22.54673,114.05262
"NO.31, MINFENG LANE, XICHENG DISTRICT,BEIJING,CHINA","NO.31, MINFENG LANE, XICHENG DISTRICT, BEIJING",Beijing,CHN,39.91789,116.397128
6 Floor No.661 Anpu Road Shanghai,6 Floor No.661 Anpu Road,Shanghai,CHN,31.20319,121.4421
"No.661 Rd. Anpu, Yangpu District, Shanghai.China",No. 661 Rd. Anpu,"Yangpu District, Shanghai",CHN,31.27656,121.52139
ROOM 1202A NO 118 XIN LING RD CHINA(SHANGHAI)PILOT FREE TRADE ZONE,ROOM 1202A NO 118 XIN LING RD,"Shanghai, China",CHN,31.2181,121.50124
"ROOM 1202A, NO 118 XIN LING ROAD, CHINA(SHANGHAI) PILOT FREE TRADE ZONE","ROOM 1202A, NO 118 XIN LING ROAD","Shanghai, China (Pilot Free Trade Zone)",CHN,31.2455,121.52225
"101,1-11 Building 19,Block 18,188 West Road ,South 4th Ring Road,Fengtai District,Beijing","101,1-11 Building 19, Block 18, 188 West Road, South 4th Ring Road","Fengtai District, Beijing",CHN,39.895,116.34111
"Yantian Modern Industry Service Center   6a-155Shatoujiao Street, Yantian District, Shenzhen，  China","Yantian Modern Industry Service Center, 6a-155 Shatoujiao Street, Yantian District",Shenzhen,CHN,22.56953,114.2691
"6A-155, 6th Floor Building A Yantian Modern Industry Service Center (phase I)3018 ShaYan road Tianxin Community Sha Tou Street Yan tian District Shenzhen,china","6A-155, 6th Floor Building A Yantian Modern Industry Service Center (phase I)3018 ShaYan road Tianxin Community Sha Tou Street Yan tian District","Shenzhen, Guangdong",CHN,22.5523,113.9331
"Station18,Room 401,Building 2,No.3,Shanghui Road,Ganlan Town,Dinghai District,Zhoushan City,Zhejiang Province CHINA","Station 18, Room 401, Building 2, No. 3, Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province",Zhejiang,CHN,29.97,122.2
Mashan Chengshan Town Rongcheng Ciry,"Mashan, Chengshan Town","Rongcheng, Shandong Province",CHN,37.1527,122.49212
"Lidao Village, Lidao Town, Rongcheng City","Lidao Village, Lidao Town, Rongcheng City",Shandong Province,CHN,37.08889,122.45333
RONGCHENGSHANDONG,RONGCHENGSHANDONG,Shandong Province,CHN,35.22,120.61
"FANG ZHI RAN ZHENG INDUSTRIAL PARK,WEST OF RUSHAN CITY,WEIHAI CITY,SHANDONG PROVINCE","FANG ZHI RAN ZHENG INDUSTRIAL PARK, WEST OF RUSHAN CITY, WEIHAI CITY, SHANDONG PROVINCE",Shandong,CHN,37.11111,122.505
RONG CHENG SHAN DONG,RONG CHENG SHAN DONG,Shandong Province,CHN,36.64385,117.16866
"Southwest of Yandunjiao Village,Lidao Town,Rongcheng City,Weihai City,Shandong Province","Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",Shandong,CHN,37.25644,122.51065
"MASHAN,CHENGSHAN TOWN,RONGCHENG CITY","MASHAN, CHENGSHAN TOWN, RONGCHENG CITY",Shandong Province,CHN,36.57,120.0018
Rongcheng Shandong China,"Rongcheng, Shandong, China",Shandong,CHN,37.14454,122.4731
Shawodao Renhe County Rongcheng Shandong City CHINA,Shawodao Renhe County Rongcheng Shandong,Shandong,CHN,35.24444,119.46556
Shawo Island Renhe Town Rongcheng City,Shawo Island Renhe Town,"Rongcheng City, Shandong Province",CHN,37.77854,122.55182
"Shawo Island,Renhe Town, Rongcheng City,Shandong,China","Shawo Island, Renhe Town, Rongcheng City, Shandong",Shandong,CHN,37.17429,122.76601
NO.55 HUAYUAN ROAD WEIHAI SHANDONG CHINA,NO.55 HUAYUAN ROAD,"WEIHAI, SHANDONG",CHN,37.50833,122.115
RONGCHENG SHANDONG,RONGCHENG SHANDONG,Shandong Province,CHN,36.61781,121.29492
NO.55 Huayuan Road of Weihai China,NO.55 Huayuan Road,"Weihai, Shandong Province",CHN,37.50222,122.09389
No.9 jinshe street chengqu Rushan city Shandong province china,"No. 9 Jinshe Street, Chengqu, Rushan City",Shandong Province,CHN,36.579,120.4825
RONGCHENG  SHANDONG,"RONGCHENG, SHANDONG",Shandong,CHN,37.38833,122.5
"FLOOR 10-11TH, PUTUO MARINE & FISHERIES BUILDING, NO.9 WEST DONGHAI RD., SHENJIAMEN STREET, PUTUO DISTRICT, ZHOUSHAN CITY","FLOOR 10-11TH, PUTUO MARINE & FISHERIES BUILDING, NO.9 WEST DONGHAI RD., SHENJIAMEN STREET, PUTUO DISTRICT, ZHOUSHAN CITY",Zhejiang Province,CHN,,
"Floor 10-11th, PUTUO MARINE & FISHERIES BUILDING , NO.9 WEST DONGHAI RD., SHENJIAMEN STREET, PUTUO DISTRICT, ZHOUSHAN CITY","Floor 10-11th, Putuo Marine & Fisheries Building, No. 9 West Donghai Rd., Shenjiamen Street, Putuo District, Zhoushan City",Zhejiang,CHN,29.97556,122.15778
"Floor 10 - 11th Putuo Marine & Fisheries Building, No. 9 West Donghai RoadShenjiamen Street,Putuo District, Zhoushan City, China","Floor 10 - 11th Putuo Marine & Fisheries Building, No. 9 West Donghai Road","Putuo District, Zhoushan City",CHN,29.96585,122.29145
"FLOOR 11TH,WEST ROOM NO.1,PUTUO OCEAN & FISHERIES BUILDING,9 WEST DONGHAI ROAD,SHENJIAMEN STREET,PUTUO DISTRICT,ZHOUSHAN CITY,CHINA(ZHEJIANG) PILOT FREE TRADE ZONE","FLOOR 11TH, WEST ROOM NO.1, PUTUO OCEAN & FISHERIES BUILDING, 9 WEST DONGHAI ROAD, SHENJIAMEN STREET, PUTUO DISTRICT, ZHOUSHAN CITY",ZHEJIANG,CHN,29.98417,122.1891
"ROOM 1805B,SHENZHEN DAZHONGHUA INTERNATIONAL TRADING PLAZA,NO.1 FUHUA FIRST ROAD,FU'AN COMMUNITY,FUTIAN STREET,FUTIAN DISTRICT,SHENZHEN CITY","ROOM 1805B, SHENZHEN DAZHONGHUA INTERNATIONAL TRADING PLAZA, NO.1 FUHUA FIRST ROAD, FU'AN COMMUNITY, FUTIAN STREET, FUTIAN DISTRICT, SHENZHEN CITY",Guangdong Province,CHN,22.546303,114.037788
"Room 101, Main Building, Gaofa Building, Fushun Road, Torch High-tech Industrial Development Zone, Weihai City, Shandong Province.","Room 101, Main Building, Gaofa Building, Fushun Road, Torch High-tech Industrial Development Zone, Weihai City, Shandong Province",Shandong,CHN,37.50833,122.08333
"Room 1302,International Chamber Of Commerce Building, Xinzhou Road East,Futian District, Shenzhen City , China","Room 1302, International Chamber Of Commerce Building, Xinzhou Road East, Futian District, Shenzhen City",Guangdong Province,CHN,22.54815,114.08684
"4203 Landmark Tower, Jintian Rd., Futian District , Shenzhen，China","4203 Landmark Tower, Jintian Rd., Futian District",Shenzhen / Guangdong,CHN,22.54637,114.05968
"4203 LANDMARK TOWER,4028 JINTIAN ROAD, FUTIAN DISTRICT,SHENZHEN,CHINA","4203 Landmark Tower, 4028 Jintian Road, Futian District",Shenzhen,CHN,22.54027,114.06107
"4203 Landmark Tower, 4028 Jintian Rd., Futian District , Shenzhen China","4203 Landmark Tower, 4028 Jintian Rd., Futian District",Shenzhen,CHN,22.53312,113.95229
"4203 Landmark Tower,4028 Jintian Road, Futian District, Shenzhen, China.","4203 Landmark Tower, 4028 Jintian Road, Futian District","Shenzhen, Guangdong Province",CHN,22.53315,114.05244
"4203 Landmark Tower, Jintian Rd., Futian District , Shenzhen?China","4203 Landmark Tower, Jintian Rd., Futian District",Shenzhen,CHN,22.54924,114.05573
"Room601,No.55-3 Dandong Street,Zhongshan District,Dalian ,China","Room 601, No. 55-3 Dandong Street, Zhongshan District, Dalian",Liaoning,CHN,38.91491,121.62014
"NO.1-6 Shanghui Road,Ganlan Town,Dinghai District,Zhoushan City,Zhejiang  Province 603,Commercial Center,Zhoushan National Pelagic Fishery Base",NO.1-6 Shanghui Road,"Dinghai District, Zhoushan City, Zhejiang Province",CHN,30.03109,122.0978
"Pharmaceutical Building,NO.2846,Xingang East Road,Haizhu District,Guangzhou","Pharmaceutical Building, NO.2846, Xingang East Road, Haizhu District","Guangzhou, Guangdong",CHN,23.09123,113.28454
"Pharmaceutical Building, NO.2846 Xingang East Road, Haizhu District, Guangzhou, China","Pharmaceutical Building, NO.2846 Xingang East Road, Haizhu District",Guangzhou,CHN,23.07343,113.30205
"9F SHANDONG HIGH-SPEED BUILDING,NO.29 MIAOLING ROAD,QINGDAO,CHINA","9F SHANDONG HIGH-SPEED BUILDING, NO. 29 MIAOLING ROAD","Qingdao, Shandong Province",CHN,36.06329,120.38847
"Station10,Room502,No1-5,Shanghui Road,Ganlan,Dinghai District,Zhoushan,Zhejiang.","Station 10, Room 502, No. 1-5, Shanghui Road, Ganlan, Dinghai District, Zhoushan, Zhejiang",Zhejiang,CHN,29.97917,122.04944
"Station10,Room502,No1-5,Shanghui Road,Ganlan,Dinghai District,Zhoushan,Zhejiang","Station 10, Room 502, No. 1-5, Shanghui Road, Ganlan, Dinghai District, Zhoushan, Zhejiang",Zhejiang,CHN,29.975,122.13667
"NO.1-6 Shanghui Road,Ganlan Town,Dinghai District,Zhoushan City,Zhejiang Province (603,Commercial Center,Zhoushan National Pelagic Fishery Base)","NO.1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province",Zhejiang,CHN,29.9733,122.2031
"STATION10,ROOM502,NO1-5,SHANGHUI ROAD,GANLAN,DINGHAI DISTRICT,ZHOUSHAN,ZHEJIANG","STATION10, ROOM 502, NO 1-5, SHANGHUI ROAD, GANLAN, DINGHAI DISTRICT, ZHOUSHAN, ZHEJIANG","Zhoushan, Zhejiang",CHN,29.97444,122.12079
Rongcheng Shandong,"Rongcheng, Shandong",Shandong Province,CHN,37.15264,122.40609
"NO.31, Minfeng Lane, Xicheng District ,Beijing, China","NO.31, Minfeng Lane, Xicheng District",Beijing,CHN,39.9112,116.3659
"NO. 23 JINRONGJIE, XICHENG DISTRICT, BEIJING","NO. 23 JINRONGJIE, XICHENG DISTRICT",BEIJING,CHN,39.906865,116.397115
"101,1-11 Building 19, Block18, 188 West Road, South 4th Ring Road, Fengtai District, Beijing","101, 1-11 Building 19, Block 18, 188 West Road, South 4th Ring Road, Fengtai District",Beijing,CHN,39.87,116.29
"Flr. 15, Section B, Hainabaichuan HQ MAnsion, N.6, Baoxing Rd, Haibin Community Xin'an Sub-district, Bao'an District, Shenzhen, Guangdong, China","Flr. 15, Section B, Hainabaichuan HQ Mansion, N.6, Baoxing Rd, Haibin Community Xin'an Sub-district, Bao'an District",Guangdong,CHN,22.58,113.88333
"NO.31, Minfeng Lane,Xicheng District,Beijing,China","No. 31, Minfeng Lane, Xicheng District",Beijing,CHN,39.9125,116.365
"31, MINFENG LANE, XIDAN, BEIJING, CHINA","31, Minfeng Lane, Xidan",Beijing,CHN,39.91234,116.39767
"NO.31, MinfengLane, Xi Dan, Beijing, China","NO.31, Minfeng Lane, Xi Dan",Beijing,CHN,39.93112,116.36531
"No.1-3 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province","No.1-3 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province",Zhejiang,CHN,29.97729,122.07841
"1ST Floor, BCI House, Avarua, Rarotonga, Cook Islands","1ST Floor, BCI House, Avarua, Rarotonga, Cook Islands",Rarotonga,COK,-21.21278,-159.77583
"NERY CHARLEN SOLAR 1-2
Y FICUS
SECTOR GUARANILLO GRANDE S/N
MANZANA 99
EDIFICIO
SALICA DEL ECUADOR
PAROQUIA POSORJA ECUADOR","NERY CHARLEN SOLAR 1-2, Y FICUS, SECTOR GUARANILLO GRANDE S/N, MANZANA 99, EDIFICIO SALICA DEL ECUADOR, PAROQUIA POSORJA",Guayas,ECU,-1.268848,-80.224273
"POLIGONO LANDABASO, S/N- EDIF ALBACORA, 48370 BERMEO, ESP","POLIGONO LANDABASO, S/N- EDIF ALBACORA","BERMEO, BIZKAIA",ESP,43.44167,-2.70417
"PARQUE CIENTIFICO Y TECNOLOGICO DE VIZCAYA LAIDA BIDEA, EDF. 407, 2º, 48170 ZAMUDIO, ESP","Laida Bidea, Edificio 407, 2º, 48170 Zamudio -- Bizkaia -- ESP -- 43.29705 -- -2.89563",,,,
"PUERTO DE CELEIRO, MUELLE 2, 27863 VIVERO, ESP","PUERTO DE CELEIRO, MUELLE 2, 27863 VIVERO",Galicia,ESP,43.71361,-7.47167
"MUELLE REPARACIONES BOUZAS, ALMACEN A-10, 36208 VIGO, ESP","Muelle Reparaciones Bouzas, Almacen A-10","Vigo, Galicia",ESP,42.2279,-8.7177
"NUEVOS PABELLONES DE BOUZAS, 82, 36208 VIGO, ESP","NUEVOS PABELLONES DE BOUZAS, 82","VIGO, PONTEVEDRA",ESP,42.21375,-8.74306
"P O Box 16386, Suva",P O Box 16386,Suva,FJI,-18.1416,178.4414
"P.O.BOX 2318, GOVERNMENT BUILDING, SUVALOT 9-10 ROKOBILI INDUSTRIAL SUBDIVISION","P.O.BOX 2318, GOVERNMENT BUILDING, SUVALOT 9-10 ROKOBILI INDUSTRIAL SUBDIVISION","Suvalot, Rokobili",VUT,-17.67743,178.25253
"33 FREESTONE RD, WALUBAY, SUVA.",33 Freestone Rd,"Walubay, Suva",FJI,-18.13444,178.45111
"26 Matua Street,Walu Bay,Suva,Fiji.",26 Matua Street,"Suva, Fiji",FJI,-18.125,178.431
"16 DAYA STREET, VATUWAQA, G.P.O. BOX 18059, SUVA","16 Daya Street, Vatuwaqa, G.P.O. Box 18059",Suva,FJI,-18.14167,178.44194
"33 Freeston Rd, Walu Bay, Suva, Fiji.","33 Freeston Rd, Walu Bay, Suva",Suva/FI,FJI,-18.14,178.441667
"33 FREESTON ROAD WALU BAY, SUVAFIJI",33 Freeston Road,Walu Bay,Fiji (FJI),-17.74972,178.43306
"33 FREESTON RD,WALUBAY,SUVA",33 Freeston Rd,Walubay,FJ (Fiji),-18.13333,178.41667
"33 FREESTON ROAD
WALU BAY
SUVA,FIJI",33 Freeston Road,Walu Bay,Fiji (FJI),-18.14139,178.44183
"33 FREESTON ROAD
WALU BAY 
SUVA
FIJI",33 FREESTON ROAD,WALU BAY,FJI,-18.13333,178.43333
"33 FREESTON ROAD
WALU BAY
SUVA
FIJI",33 Freeston Road,Walu Bay,Fiji (FJI),-18.13,178.44
"33 FREESTON ROAD
WAKU BAY
SUVA
FIJI",33 Freeston Road,Waku Bay,FJ,-18.10915,178.4505
"33 Freeston RdWalu Bay, SuvaFiji","33 Freeston Rd, Walu Bay -- Suva, Central Division -- FJI -- -18.13750 -- 178.44250",,,,
33 FREESTON ROADWALU BAYSUVAFIJI,33 Freeston Road,Walu Bay,FJ,-17.76917,178.43622
"P O Box 2036, Government Buildings, Suva. Telephone: (679) 9922118","P O Box 2036, Government Buildings",Suva,FJI,-18.1416,178.4416
Muaiwalu Complex P O Box 13356 Suva,Muaiwalu Complex P O Box 13356,Suva,FJI,-18.12457,178.44094
