source,target,relationship
vessel_12098,owner_MED BFT VESSEL LIMITED,owned_by
vessel_10572,"owner_Oakcity Tuna Fishing Corporation, S.A. de C.V.",owned_by
vessel_4655,owner_OAKCITY TUNA FISHING CORPORATION S.A de C.V.,owned_by
vessel_4656,owner_OAKCITY TUNA FISHING CORPORATION S.A de C.V.,owned_by
vessel_9975,"owner_HAI CHAN YANG FISHERY CO.,LTD",owned_by
vessel_881,owner_KOCHI KEN,owned_by
vessel_1630,"owner_FUJITA GYOGYOU COMPANY., Ltd.",owned_by
vessel_11463,"owner_CHINA SOUTHERN FISHERY(SHENZHEN)  CO.,LTD",owned_by
vessel_12117,owner_TSP LIVESTOCK & DEVELOPMENT CORPORATION,owned_by
vessel_4316,owner_DANG FISHERY INC,owned_by
vessel_4317,owner_NGUYEN FISHERY INC,owned_by
vessel_12038,"owner_Zhejiang Xingpeng Ocean Fishery CO.,LTD",owned_by
vessel_10179,"owner_Zhejiang Xingpeng Ocean Fishery CO.,LTD",owned_by
vessel_11751,owner_GUANGZHOU PELAGIC FISHERY CO. LTD.,owned_by
vessel_9739,"owner_RONGCHENG OCEAN FISHERY CO., LTD",owned_by
vessel_9738,"owner_RONGCHENG OCEAN FISHERY CO., LTD",owned_by
vessel_9825,owner_Pan Pacific Fishing (RMI) INC.,owned_by
vessel_4276,owner_JK PACIFIC FISHERY LTD,owned_by
vessel_10706,"owner_CHINA SOUTHERN FISHERY (SHENZHEN)CO.,LTD.",owned_by
vessel_10705,"owner_CHINA SOUTHERN FISHERY (SHENZHEN)CO.,LTD.",owned_by
vessel_10704,"owner_CHINA SOUTHERN FISHERY (SHENZHEN)CO.,LTD.",owned_by
vessel_10647,"owner_China Southern Fishery (Shenzhen) Co.,Ltd",owned_by
vessel_10646,"owner_China Southern Fishery (Shenzhen) Co.,Ltd",owned_by
vessel_10645,"owner_China Southern Fishery (Shenzhen) Co.,ltd",owned_by
vessel_133,"owner_ZHE JIANG NEW TIMES INTERNATIONAL FISHERIES CO., LTD.",owned_by
vessel_131,"owner_ZHEJIANG NEW TIMES INTERNATIONAL FISHERIES CO., LTD.",owned_by
vessel_11701,"owner_Zhoushan Haihong Ocean Fisheries CO., LTD",owned_by
vessel_11995,owner_GUANGZHOU PELAGIC FISHERY CO. LTD.,owned_by
vessel_11827,owner_FAIR RICH INTERNATIONAL GROUP LTD,owned_by
vessel_10883,"owner_LIANCHENG OVERSEAS FISHERY(SHENZHEN)CO.,LTD.",owned_by
