GEONAME,short_name,geometry,fishing_area_long,fishing_area_lat
High Seas Pocket 6,hsp6,POINT (-165.39579463295752 -4.886868151601205),-165.3957946,-4.886868152
High Seas Pocket 2,hsp2,POINT (142.8799342705539 3.0582196546040974),142.8799343,3.058219655
High Seas Pocket 3,hsp3,POINT (155.95434274382654 16.044158829086093),155.9543427,16.04415883
High Seas Pocket 7,hsp7,POINT (-164.5540955358285 -4.161049604617845),-164.5540955,-4.161049605
High Seas Pocket 5,hsp5,POINT (173.0194775072423 -15.375237158037528),173.0194775,-15.37523716
High Seas Pocket 4,hsp4,POINT (165.9243783614299 -3.385867730543085),165.9243784,-3.385867731
High Seas Pocket 1,hsp1,POINT (133.26613478344933 16.038184140634858),133.2661348,16.03818414
Tonga EEZ,tonga_eez,POINT (185.23413919385237 -20.221748693834364),185.2341392,-20.22174869
Kiribati EEZ (Phoenix Group),kirbati2_eez,POINT (187.54603475245742 -3.7318121089189673),187.5460348,-3.731812109
Vanuatu EEZ,vanuatu_eez,POINT (168.5574292101216 -16.585230956227768),168.5574292,-16.58523096
Solomon Islands  EEZ,solomon_islands_eez,POINT (163.68539143148948 -10.044652376372326),163.6853914,-10.04465238
Guam EEZ,usa_eez,POINT (144.00260787377988 12.929575198583974),144.0026079,12.9295752
RMI EEZ,rmi_eez,POINT (167.48546768681564 10.151361149631043),167.4854677,10.15136115
Northern Mariana Islands EEZ,usa2_eez,POINT (145.7393321896382 18.28659831715943),145.7393322,18.28659832
Palau EEZ,palau_eez,POINT (133.0694980142883 6.443930361525609),133.069498,6.443930362
Tuvalu EEZ,tuvalu_eez,POINT (178.18287846910158 -7.812542136914524),178.1828785,-7.812542137
Fiji EEZ,fiji_eez,POINT (177.68934595847344 -17.948470972464452),177.689346,-17.94847097
Kiribati EEZ (Gilbert Islands),kiribati1_eez,POINT (173.8878892759029 -0.2591236095025418),173.8878893,-0.25912361
FSM EEZ,fsm_eez,POINT (150.32248167740988 6.76843444164063),150.3224817,6.768434442
PNG EEZ,png_eez,POINT (150.71973172258194 -5.456633716208542),150.7197317,-5.456633716
Nauru EEZ,nauru_eez,POINT (166.12396381577236 -0.5911306171985848),166.1239638,-0.591130617
