flag,vessel_name,fishing_hours,fishing_area,owner,vessel_type,owner_address,owner_providence_state,owner_country,owner_latitude,owner_longitude,home_port_name,home_port_providence_state,home_port_country,home_port_latitude,home_port_longitude
CHN,DONG YU 1521,22.86,hsp7,"Zhejiang Xingpeng Ocean Fishery CO.,LTD",Longliner,"Room 503, 5F, Building 1, No. 1 Xingye Road, Ganlan Town, Dinghai District, Zhoushan, Zhejiang",Zhejiang,CHN,29.98333,122.11333,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,DONG YU 1521,291.1,hsp6,"Zhejiang Xingpeng Ocean Fishery CO.,LTD",Longliner,"Room 503, 5F, Building 1, No. 1 Xingye Road, Ganlan Town, Dinghai District, Zhoushan, Zhejiang",Zhejiang,CHN,29.98333,122.11333,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,DONG YU 1521,1421.71,kirbati2_eez,"Zhejiang Xingpeng Ocean Fishery CO.,LTD",Longliner,"Room 503, 5F, Building 1, No. 1 Xingye Road, Ganlan Town, Dinghai District, Zhoushan, Zhejiang",Zhejiang,CHN,29.98333,122.11333,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,DONG YU 1521,741.84,kiribati1_eez,"Zhejiang Xingpeng Ocean Fishery CO.,LTD",Longliner,"Room 503, 5F, Building 1, No. 1 Xingye Road, Ganlan Town, Dinghai District, Zhoushan, Zhejiang",Zhejiang,CHN,29.98333,122.11333,Zhoushan,Zhejiang,CHN,29.99,122.2
CHN,FENG XIANG 818,12.19,nauru_eez,"Ningbo Yongfa Ocean Fisheries CO.,LTD",Purse seiner,"ROOM 1606 DIAMOND PLAZA, 415 JIANGAN ROAD, JIANGBEI DISTRICT -- NINGBO, ZHEJIANG -- CHN -- 29.88302 -- 121.55043",,,,,"Ningbo, China",Zhejiang Province,CHN,29.8682,121.5494
CHN,FENG XIANG 818,74.01,fsm_eez,"Ningbo Yongfa Ocean Fisheries CO.,LTD",Purse seiner,"ROOM 1606 DIAMOND PLAZA, 415 JIANGAN ROAD, JIANGBEI DISTRICT -- NINGBO, ZHEJIANG -- CHN -- 29.88302 -- 121.55043",,,,,"Ningbo, China",Zhejiang Province,CHN,29.8682,121.5494
CHN,FENG XIANG 818,206.3,png_eez,"Ningbo Yongfa Ocean Fisheries CO.,LTD",Purse seiner,"ROOM 1606 DIAMOND PLAZA, 415 JIANGAN ROAD, JIANGBEI DISTRICT -- NINGBO, ZHEJIANG -- CHN -- 29.88302 -- 121.55043",,,,,"Ningbo, China",Zhejiang Province,CHN,29.8682,121.5494
CHN,FENG XIANG 818,20.68,kiribati1_eez,"Ningbo Yongfa Ocean Fisheries CO.,LTD",Purse seiner,"ROOM 1606 DIAMOND PLAZA, 415 JIANGAN ROAD, JIANGBEI DISTRICT -- NINGBO, ZHEJIANG -- CHN -- 29.88302 -- 121.55043",,,,,"Ningbo, China",Zhejiang Province,CHN,29.8682,121.5494
CHN,GUANGYUANYU331,184.43,hsp7,"GuangDong Guangyuan Fishery Group Co.,LTD",Longliner,"Building 3, 87 Yuan 'an xinjie, Haizhu District, Guangzhou City",Guangdong Province,CHN,23.104274,113.281733,Guangzhou,Guangdong Province,CHN,23.12911,113.26436
CHN,GUANGYUANYU331,88.2,hsp6,"GuangDong Guangyuan Fishery Group Co.,LTD",Longliner,"Building 3, 87 Yuan 'an xinjie, Haizhu District, Guangzhou City",Guangdong Province,CHN,23.104274,113.281733,Guangzhou,Guangdong Province,CHN,23.12911,113.26436
CHN,GUANGYUANYU331,470.04,kirbati2_eez,"GuangDong Guangyuan Fishery Group Co.,LTD",Longliner,"Building 3, 87 Yuan 'an xinjie, Haizhu District, Guangzhou City",Guangdong Province,CHN,23.104274,113.281733,Guangzhou,Guangdong Province,CHN,23.12911,113.26436
CHN,GUANGYUANYU331,19.77,fiji_eez,"GuangDong Guangyuan Fishery Group Co.,LTD",Longliner,"Building 3, 87 Yuan 'an xinjie, Haizhu District, Guangzhou City",Guangdong Province,CHN,23.104274,113.281733,Guangzhou,Guangdong Province,CHN,23.12911,113.26436
CHN,GUANGYUANYU332,3.69,tonga_eez,"GuangDong Guangyuan Fishery Group Co.,LTD",Longliner,"Building 3, 87 Yuan 'an xinjie, Haizhu District, Guangzhou City",Guangdong Province,CHN,23.104274,113.281733,Guangzhou,Guangdong Province,CHN,23.12911,113.26436
CHN,GUANGYUANYU332,7.48,fiji_eez,"GuangDong Guangyuan Fishery Group Co.,LTD",Longliner,"Building 3, 87 Yuan 'an xinjie, Haizhu District, Guangzhou City",Guangdong Province,CHN,23.104274,113.281733,Guangzhou,Guangdong Province,CHN,23.12911,113.26436
CHN,GUANGYUANYU333,419.63,hsp4,"GuangDong Guangyuan Fishery Group Co.,LTD",Longliner,"Building 3, 87 Yuan 'an xinjie, Haizhu District, Guangzhou City",Guangdong Province,CHN,23.104274,113.281733,Guangzhou,Guangdong Province,CHN,23.12911,113.26436
CHN,GUANGYUANYU333,31.1,fiji_eez,"GuangDong Guangyuan Fishery Group Co.,LTD",Longliner,"Building 3, 87 Yuan 'an xinjie, Haizhu District, Guangzhou City",Guangdong Province,CHN,23.104274,113.281733,Guangzhou,Guangdong Province,CHN,23.12911,113.26436
CHN,GUANGYUANYU333,872.1,kiribati1_eez,"GuangDong Guangyuan Fishery Group Co.,LTD",Longliner,"Building 3, 87 Yuan 'an xinjie, Haizhu District, Guangzhou City",Guangdong Province,CHN,23.104274,113.281733,Guangzhou,Guangdong Province,CHN,23.12911,113.26436
CHN,GUANGYUANYU335,67.97,hsp7,"GuangDong Guangyuan Fishery Group Co.,LTD",Longliner,"Building 3, 87 Yuan 'an xinjie, Haizhu District, Guangzhou City",Guangdong Province,CHN,23.104274,113.281733,Guangzhou,Guangdong Province,CHN,23.12911,113.26436
CHN,GUANGYUANYU335,22.74,fiji_eez,"GuangDong Guangyuan Fishery Group Co.,LTD",Longliner,"Building 3, 87 Yuan 'an xinjie, Haizhu District, Guangzhou City",Guangdong Province,CHN,23.104274,113.281733,Guangzhou,Guangdong Province,CHN,23.12911,113.26436
CHN,GUANGYUANYU336,6.98,tonga_eez,"Guangdong Guangyuan Fishery Group Co., Ltd.",Longliner,"Room 1401, No. 644 Tongfu Road East","Guangzhou, Guangdong",CHN,23.1395,113.27523,Guangzhou,Guangdong Province,CHN,23.12911,113.26436
CHN,GUANGYUANYU336,961.78,vanuatu_eez,"Guangdong Guangyuan Fishery Group Co., Ltd.",Longliner,"Room 1401, No. 644 Tongfu Road East","Guangzhou, Guangdong",CHN,23.1395,113.27523,Guangzhou,Guangdong Province,CHN,23.12911,113.26436
CHN,GUANGYUANYU336,245.74,hsp5,"Guangdong Guangyuan Fishery Group Co., Ltd.",Longliner,"Room 1401, No. 644 Tongfu Road East","Guangzhou, Guangdong",CHN,23.1395,113.27523,Guangzhou,Guangdong Province,CHN,23.12911,113.26436
CHN,GUANGYUANYU336,21.38,fiji_eez,"Guangdong Guangyuan Fishery Group Co., Ltd.",Longliner,"Room 1401, No. 644 Tongfu Road East","Guangzhou, Guangdong",CHN,23.1395,113.27523,Guangzhou,Guangdong Province,CHN,23.12911,113.26436
CHN,GUANGYUANYU338,10.69,tonga_eez,"Guangdong Guangyuan Fishery Group Co., Ltd.",Longliner,"Room 1401, No.644 Tongfu Road East","Guangzhou, Guangdong",CHN,23.13867,113.26788,Guangzhou,Guangdong Province,CHN,23.12911,113.26436
CHN,GUANGYUANYU338,2005.22,vanuatu_eez,"Guangdong Guangyuan Fishery Group Co., Ltd.",Longliner,"Room 1401, No.644 Tongfu Road East","Guangzhou, Guangdong",CHN,23.13867,113.26788,Guangzhou,Guangdong Province,CHN,23.12911,113.26436
