node_id,node_type,name,flag,imo
vessel_12098,vessel,OCEAN STAR,PA,9915686.0
vessel_10572,vessel,MONTELAPE,SV,8021775.0
vessel_4655,vessel,MONTELUCIA,SV,9232668.0
vessel_4656,vessel,MONTEROCIO,SV,8919453.0
vessel_9975,vessel,CHANG YI NO.368,TW,8748804.0
vessel_881,vessel,TOSAKAIEN MARU,JP,9615547.0
vessel_1630,vessel,FUJITAFUJI MARU,JP,8344488.0
vessel_11463,vessel,HUA NAN YU 769,CN,9814480.0
vessel_12117,vessel,QUEEN JANICE-101,PH,8748567.0
vessel_4316,vessel,PRINCESS JASMINE,US,8940660.0
vessel_4317,vessel,PRINCESS JASMINE II,US,8940907.0
vessel_12038,vessel,DONGYU1536,CN,9927380.0
vessel_10179,vessel,DONGYU1518,CN,8668523.0
vessel_11751,vessel,SUIYUANYU35,CN,9873230.0
vessel_9739,vessel,ZHONG RONG 15,CN,8749119.0
vessel_9738,vessel,ZHONG RONG 13,CN,8749107.0
vessel_9825,vessel,LOMETO,MH,9583419.0
vessel_4276,vessel,TUNA PEAK NO.66,VU,8977625.0
vessel_10706,vessel,HUA NAN YU 739,CN,9707613.0
vessel_10705,vessel,HUA NAN YU 738,CN,9707601.0
vessel_10704,vessel,HUA NAN YU 737,CN,9707596.0
vessel_10647,vessel,HUA NAN YU 736,CN,9699153.0
vessel_10646,vessel,HUA NAN YU 732,CN,9699141.0
vessel_10645,vessel,HUA NAN YU 731,CN,9699139.0
vessel_133,vessel,XIN SHI JI 87,CN,8651271.0
vessel_131,vessel,XIN SHI JI NO.17,CN,8651269.0
vessel_11701,vessel,ZHOU YUAN YU 2602,CN,9861419.0
vessel_11995,vessel,SUIYUANYU38,CN,9917270.0
vessel_11827,vessel,WIN WIN 707,VU,9887449.0
vessel_10883,vessel,SHEN LIAN CHENG 883,CN,8663157.0
vessel_10884,vessel,SHEN LIAN CHENG 884,CN,9718313.0
vessel_11461,vessel,HUA NAN YU 767,CN,9814466.0
vessel_11455,vessel,HUA NAN YU 762,CN,9814442.0
vessel_11454,vessel,HUA NAN YU 761,CN,9814375.0
vessel_11905,vessel,HUA NAN YU 705,CN,9896878.0
vessel_12181,vessel,AOMORI MARU,JP,9971240.0
vessel_12446,vessel,AICHI MARU,JP,1071305.0
vessel_11636,vessel,WEI NING,LR,9064229.0
vessel_11453,vessel,ACONCAGUA BAY,LR,9019652.0
vessel_434,vessel,NO.639 DONGWON,KR,9011167.0
vessel_2105,vessel,NO.638 DONG WON,KR,9016399.0
vessel_1381,vessel,NO.651 DONG WON,KR,9042740.0
vessel_912,vessel,NO.631 DONG WON,KR,8911310.0
vessel_906,vessel,NO.622 DONG WON,KR,8905579.0
vessel_902,vessel,NO.618 DONG WON,KR,8815669.0
vessel_1906,vessel,FUKUICHI MARU NO.83,JP,9524853.0
vessel_10910,vessel,LU RONG YUAN YU 138,CN,9730476.0
vessel_10909,vessel,LU RONG YUAN YU 137,CN,9730464.0
vessel_11027,vessel,SUIYUANYU32,CN,9742699.0
vessel_11996,vessel,SUIYUANYU40,CN,9917294.0
vessel_1726,vessel,SEIRYU MARU NO.5,JP,8989616.0
vessel_1766,vessel,TATSUYOSHI MARU,JP,9237979.0
vessel_305,vessel,INARI MARU NO.85,JP,9326263.0
vessel_9235,vessel,SEIYU,KR,9172909.0
vessel_10612,vessel,LU RONG YUAN YU 328,CN,8663353.0
vessel_11465,vessel,LU RONG YUAN YU 299,CN,9813228.0
vessel_11464,vessel,LU RONG YUAN YU 298,CN,9813022.0
vessel_12276,vessel,JINXIANG808,CN,1038212.0
vessel_1915,vessel,WAKABA MARU NO.6,JP,9062635.0
vessel_10145,vessel,HUA NAN YU 723,CN,8654986.0
vessel_10144,vessel,HUA NAN YU 722,CN,8654974.0
vessel_10143,vessel,HUA NAN YU 721,CN,8654962.0
vessel_10118,vessel,HUA NAN YU 719,CN,8654950.0
vessel_10117,vessel,HUA NAN YU 718,CN,8654948.0
vessel_10104,vessel,HUA NAN YU 717,CN,8654936.0
vessel_10103,vessel,HUA NAN YU 716,CN,8654924.0
vessel_9875,vessel,HUA NAN YU 712,CN,8628688.0
vessel_9874,vessel,HUA NAN YU 711,CN,8628676.0
vessel_10885,vessel,SHEN LIAN CHENG 885,CN,9718325.0
vessel_10841,vessel,SHEN LIAN CHENG 882,CN,8663145.0
vessel_10840,vessel,SHEN LIAN CHENG 881,CN,8663133.0
vessel_12349,vessel,ZHONGSHUI957,CN,1077476.0
vessel_11732,vessel,ZHONG SHUI 748,CN,9865283.0
vessel_11894,vessel,RONGHENG78,CN,8690100.0
vessel_10407,vessel,RONGHENG49,CN,9671785.0
vessel_10822,vessel,RONGYE159,CN,9741657.0
vessel_10821,vessel,RONGYE153,CN,9741645.0
vessel_10819,vessel,RONGYE119,CN,9741621.0
vessel_12078,vessel,PINGTAIRONG688,CN,9951707.0
vessel_11776,vessel,PINGTAIRONG313,CN,9877420.0
vessel_11756,vessel,PINGTAIRONG316,CN,9702924.0
vessel_11224,vessel,PINGTAIRONG79,CN,9770074.0
vessel_10550,vessel,PINGTAIRONG71,CN,9689392.0
vessel_9925,vessel,PINGTAIRONG39,CN,8628781.0
vessel_9924,vessel,PINGTAIRONG31,CN,9619256.0
vessel_9923,vessel,PINGTAIRONG13,CN,9619244.0
vessel_9922,vessel,PINGTAIRONG9,CN,8628810.0
vessel_12445,vessel,GOEI MARU NO.88,JP,1106576.0
vessel_1611,vessel,KAIGO MARU NO.8,JP,8344048.0
vessel_12444,vessel,NISSHOMARU NO.38,JP,1123342.0
vessel_10512,vessel,LB EBS-04,PH,8467096.0
vessel_10908,vessel,LU RONG YUAN YU 136,CN,9730440.0
vessel_12417,vessel,LURONGYUANYU636,CN,1107104.0
vessel_12420,vessel,LURONGYUANYU639,CN,1107130.0
vessel_12419,vessel,LURONGYUANYU638,CN,1107128.0
vessel_12418,vessel,LURONGYUANYU637,CN,1107116.0
vessel_11458,vessel,LU RONG YUAN YU 618,CN,9813008.0
vessel_3994,vessel,CHIEN CHANG NO.326,TW,8749468.0
vessel_3691,vessel,CHIN YU CHUN,TW,8555295.0
vessel_3783,vessel,AN WEN FA NO.16,TW,8786985.0
vessel_4098,vessel,BETTY H,US,8692990.0
vessel_4269,vessel,PACIFIC PRINCESS,US,7806271.0
vessel_12074,vessel,PROSPERITY 12,PA,9916317.0
vessel_11431,vessel,KAIUN MARU,JP,9755830.0
vessel_488,vessel,TAIKEI MARU NO.18,JP,8348355.0
vessel_10845,vessel,MARITA 88,PH,9720354.0
vessel_12431,vessel,LANHAI 101,CN,9860051.0
vessel_10911,vessel,LU RONG YUAN YU 139,CN,9730488.0
vessel_10618,vessel,LU RONG YUAN YU 59,CN,9691905.0
vessel_10617,vessel,LU RONG YUAN YU 58,CN,9691890.0
vessel_10616,vessel,LU RONG YUAN YU 57,CN,9691888.0
vessel_10615,vessel,LU RONG YUAN YU 56,CN,9691876.0
vessel_5125,vessel,OCEAN EXPLORER,AU,8564595.0
vessel_3791,vessel,SAN SHENG FA NO.3,TW,8781234.0
vessel_12344,vessel,JIA YI 28,CN,1016604.0
vessel_10707,vessel,TOEI MARU NO.8,JP,9672765.0
vessel_3898,vessel,SHUENN FWU YU NO.86,TW,8342155.0
vessel_3345,vessel,WAN ZHAO NO.88,TW,8792491.0
vessel_3723,vessel,YU SHENG FA,TW,8782446.0
vessel_4620,vessel,DONG HORNG NO.899,TW,8676300.0
vessel_8796,vessel,SHIN SHIE YI,TW,8781179.0
vessel_11704,vessel,ZHOU YUAN YU 2607,CN,9861445.0
vessel_5942,vessel,ZHOU YUAN YU 202,CN,8797386.0
vessel_9827,vessel,JIN HONG CHENG,TW,8661783.0
vessel_11542,vessel,HUA NAN YU 702,CN,9829021.0
vessel_11543,vessel,HUA NAN YU 703,CN,9829057.0
vessel_10765,vessel,SIERRA LARA,BS,9120205.0
vessel_12302,vessel,HAI ZHI RUN 7,PA,9621223.0
vessel_2141,vessel,ORYONG NO.315,KR,8714188.0
